round,role,symbol,event_rows,action,eligible_rows,mean_fill_probability_15s,mean_expected_value_bps
57,policy_calibration,BTCUSDT,16832,passive_long,16015,0.25470596170359006,-2.3927277885635294
57,policy_calibration,BTCUSDT,16832,passive_short,16132,0.2507547911928482,-2.273445287812312
57,policy_calibration,BTCUSDT,16832,aggressive_long,16132,1.0,-12.629565915542862
57,policy_calibration,BTCUSDT,16832,aggressive_short,16015,1.0,-11.927047750147883
57,policy_calibration,ETHUSDT,16826,passive_long,15610,0.20619017215815874,-1.9440762469164394
57,policy_calibration,ETHUSDT,16826,passive_short,15654,0.2022880300231944,-1.8527089741096963
57,policy_calibration,ETHUSDT,16826,aggressive_long,15654,1.0,-12.687161591093206
57,policy_calibration,ETHUSDT,16826,aggressive_short,15610,1.0,-12.208520222508723
57,policy_calibration,SOLUSDT,11572,passive_long,2752,0.01569474076279967,-0.15761489126909356
57,policy_calibration,SOLUSDT,11572,passive_short,2750,0.015494340418754672,-0.16361727191384032
57,policy_calibration,SOLUSDT,11572,aggressive_long,2750,1.0,-12.921732014339387
57,policy_calibration,SOLUSDT,11572,aggressive_short,2752,1.0,-13.377846362777406
57,evaluation,BTCUSDT,51192,passive_long,48977,0.23103702541599122,-2.1874867984753554
57,evaluation,BTCUSDT,51192,passive_short,48965,0.22409856972708764,-2.029594621699333
57,evaluation,BTCUSDT,51192,aggressive_long,48965,1.0,-12.751229600651635
57,evaluation,BTCUSDT,51192,aggressive_short,48977,1.0,-11.860462766107588
57,evaluation,ETHUSDT,51191,passive_long,47444,0.19982897891963877,-1.9071549188619779
57,evaluation,ETHUSDT,51191,passive_short,47618,0.1977426820896985,-1.8049784118709156
57,evaluation,ETHUSDT,51191,aggressive_long,47618,1.0,-12.837275150042318
57,evaluation,ETHUSDT,51191,aggressive_short,47444,1.0,-12.050568307185793
57,evaluation,SOLUSDT,39676,passive_long,3359,0.00783120010545553,-0.0757166174136221
57,evaluation,SOLUSDT,39676,passive_short,3329,0.007750609965084768,-0.08088673574373649
57,evaluation,SOLUSDT,39676,aggressive_long,3329,1.0,-13.377402246090533
57,evaluation,SOLUSDT,39676,aggressive_short,3359,1.0,-13.415807796527321
