symbol,scenario,side,mean_net_bps,p01_net_bps,p50_net_bps,p99_net_bps,positive_ratio,positive_rows,rows,outcome_ambiguous_stop,outcome_horizon,outcome_protection_gap_stop,outcome_stop,outcome_take
BTCUSDT,base,long,-12.230052133405307,-38.74722623299404,-12.07558185704347,16.979601799999497,0.07292178154859172,18118,248458,0,230541,0,14078,3839
BTCUSDT,base,short,-12.096634704020106,-37.82534621199022,-12.038471299353239,17.020401800000776,0.07470477907734908,18561,248458,0,230818,0,13427,4213
BTCUSDT,stress,long,-12.268628787791705,-39.0505771814627,-12.07558185704347,16.815962074201995,0.07291775672347037,18117,248458,0,230541,2,14076,3839
BTCUSDT,stress,short,-12.134152728583178,-38.15389255088529,-12.038471299353239,16.86807543273417,0.07469270460198504,18558,248458,0,230818,0,13427,4213
ETHUSDT,base,long,-12.281588067353105,-38.16551313029729,-12.105102089105971,16.979601799999497,0.07016689147021521,17427,248365,0,230563,0,14236,3566
ETHUSDT,base,short,-12.06398510604865,-37.46140792727071,-12.055386114169766,17.020401800000776,0.07372214281400358,18310,248365,0,230905,0,12979,4481
ETHUSDT,stress,long,-12.324863873679087,-38.71967944760785,-12.105102089105971,16.65829247809842,0.07015481247357719,17424,248365,0,230563,3,14233,3566
ETHUSDT,stress,short,-12.110111419055176,-37.820580733106866,-12.055386114169766,16.8910427360127,0.07372214281400358,18310,248365,0,230905,1,12978,4481
SOLUSDT,base,long,-13.594115121864238,-92.94340479999974,-13.000675862350944,65.65468235994493,0.2268207510875677,30658,135164,0,104853,0,23921,6390
SOLUSDT,base,short,-12.239851525005221,-93.0566048000002,-12.645694189682334,74.23178058870654,0.24048563226894734,32505,135164,0,105926,0,20961,8277
SOLUSDT,stress,long,-13.877841617750104,-93.5168001599277,-13.001603537820767,63.0440244404659,0.226302861708739,30588,135164,0,104853,22,23899,6390
SOLUSDT,stress,short,-12.530669192210352,-93.51000495907046,-12.65058518655318,71.40447601758193,0.23957562664614837,32382,135164,0,105926,10,20952,8276
