scope,fold,comparator,active_utc_days,day_block_bootstrap_mean_net_bps_lower_95,day_block_bootstrap_mean_net_bps_median,day_block_bootstrap_mean_net_bps_upper_95,delay_counts,longest_loss_streak,maximum_peak_to_trough_drawdown_bps,maximum_single_symbol_fraction,mean_increment_over_matched_immediate_bps,mean_matched_immediate_net_bps,mean_net_bps,median_net_bps,nonzero_delay_fraction,positive_rate,profit_factor,total_net_bps,total_trades,trades_by_symbol,role_proposals,eligible_proposals,vetoed_proposals,veto_fraction,overlap_rejections,capacity_rejections
evaluation_fold,evaluation_2024-06-06,immediate_base,1,-4.4693774647182885,-4.4693774647182885,-4.4693774647182885,"{'0': 18, '15': 0, '30': 0, '5': 0}",3,158.4128828048706,0.4444444444444444,0.0,-4.4693774647182885,-4.4693774647182885,-9.695569515228271,0.0,0.3888888888888889,0.640268635933216,-80.4487943649292,18,"{'BTCUSDT': 8, 'ETHUSDT': 8, 'SOLUSDT': 2}",93,93,0,0.0,24,51
evaluation_fold,evaluation_2024-06-06,veto_only_base,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",93,0,93,1.0,0,0
evaluation_fold,evaluation_2024-06-06,timing_base,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",93,0,93,1.0,0,0
evaluation_fold,evaluation_2024-06-06,timing_stress,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",93,0,93,1.0,0,0
evaluation_fold,evaluation_2024-06-06,oracle_best_delay_diagnostic,1,,,,"{'0': 6, '15': 3, '30': 5, '5': 4}",3,120.44389057159424,0.4444444444444444,2.1368996302286782,-3.6838104989793568,-1.546910868750678,-7.118523120880127,0.6666666666666666,0.3888888888888889,0.8600107286080403,-27.844395637512207,18,"{'BTCUSDT': 8, 'ETHUSDT': 8, 'SOLUSDT': 2}",93,93,0,0.0,24,51
evaluation_fold,evaluation_2024-06-07,immediate_base,1,-23.743163647858992,-23.743163647858992,-23.743163647858992,"{'0': 23, '15': 0, '30': 0, '5': 0}",5,635.7526950836182,0.34782608695652173,0.0,-23.743163647858992,-23.743163647858992,-12.681236267089844,0.0,0.30434782608695654,0.2774556243162611,-546.0927639007568,23,"{'BTCUSDT': 8, 'ETHUSDT': 8, 'SOLUSDT': 7}",150,150,0,0.0,46,81
evaluation_fold,evaluation_2024-06-07,veto_only_base,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",150,0,150,1.0,0,0
evaluation_fold,evaluation_2024-06-07,timing_base,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",150,0,150,1.0,0,0
evaluation_fold,evaluation_2024-06-07,timing_stress,0,,,,"{'0': 0, '15': 0, '30': 0, '5': 0}",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{'BTCUSDT': 0, 'ETHUSDT': 0, 'SOLUSDT': 0}",150,0,150,1.0,0,0
evaluation_fold,evaluation_2024-06-07,oracle_best_delay_diagnostic,1,,,,"{'0': 6, '15': 4, '30': 10, '5': 2}",4,607.960186958313,0.36363636363636365,8.65824638374827,-33.35507210818204,-24.69682572443377,-9.324805736541748,0.7272727272727273,0.36363636363636365,0.2526472307450055,-543.3301659375429,22,"{'BTCUSDT': 8, 'ETHUSDT': 8, 'SOLUSDT': 6}",150,150,0,0.0,47,81
