round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,policy_development,all_view_consensus,ALL,all_rows,denominator,4461,4461,1.0
55,baseline_71,policy_development,all_view_consensus,ALL,any_view_vote,independent_model_stage,201,4461,0.04505716207128446
55,baseline_71,policy_development,all_view_consensus,ALL,two_view_side_agreement,independent_model_stage,70,4461,0.015691548980049316
55,baseline_71,policy_development,all_view_consensus,ALL,all_view_positive,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,all_view_consensus,ALL,all_view_positive_preferred,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,all_view_consensus,ALL,all_view_seed_supported,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,all_view_consensus,ALL,controller_model_eligible,controller_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,all_view_consensus,ALL,liquidity_eligible,market_gate,3062,4461,0.6863931853844429
55,baseline_71,policy_development,all_view_consensus,ALL,volatility_eligible,market_gate,4426,4461,0.9921542255099753
55,baseline_71,policy_development,all_view_consensus,ALL,model_plus_liquidity,controller_stage,30,4461,0.006724949562878279
55,baseline_71,policy_development,all_view_consensus,ALL,model_plus_volatility,controller_stage,28,4461,0.006276619592019726
55,baseline_71,policy_development,all_view_consensus,ALL,market_eligible,controller_stage,27,4461,0.00605245460659045
55,baseline_71,policy_development,all_view_consensus,ALL,market_eligible_long,controller_side,27,4461,0.00605245460659045
55,baseline_71,policy_development,all_view_consensus,ALL,market_eligible_short,controller_side,0,4461,0.0
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,any_view_vote,independent_model_stage,56,1487,0.03765971755211836
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,two_view_side_agreement,independent_model_stage,21,1487,0.014122394082044385
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,all_view_positive,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,all_view_positive_preferred,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,all_view_seed_supported,exact_rule_stage,7,1487,0.004707464694014795
