signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
l1_imbalance,5,2023-06-21,5695,0.5579105002109371,0.5663918847476528,0.08304150912571395,0.5378660748118876
l1_imbalance,5,2023-06-22,5234,0.5680291285250639,0.5757624178765987,0.1092564079043409,0.5478594626513138
l1_imbalance,5,2023-06-23,4927,0.6040312141768056,0.61027040808922,0.15710100410008815,0.57403987007197
l1_imbalance,5,2023-06-24,3555,0.6725166252398622,0.6725129779691061,0.20910538973627454,0.6232258064516129
l1_imbalance,5,2023-06-25,3988,0.6582460935860218,0.6590649369335648,0.20284034429864325,0.6172868037901549
microprice_offset_bps,5,2023-06-21,5695,0.5547080671504491,0.5635462819127173,0.08101381922671151,0.5376495425756509
microprice_offset_bps,5,2023-06-22,5234,0.5675436698559476,0.5747261579107339,0.10753334357572222,0.5462651313847062
microprice_offset_bps,5,2023-06-23,4927,0.6014805613306726,0.6068287096591186,0.149519916290789,0.5725113050124195
microprice_offset_bps,5,2023-06-24,3555,0.6703702030611058,0.6703447075208914,0.20654798197693222,0.6229677419354839
microprice_offset_bps,5,2023-06-25,3988,0.656656707399654,0.6576718734239051,0.20067925584552954,0.6159771974424159
normalized_ofi,5,2023-06-21,5695,0.5229206447696668,0.5314241076686823,0.05401958385574305,0.516321117306339
normalized_ofi,5,2023-06-22,5234,0.5512480050652284,0.5580856479857847,0.07920725602328481,0.542899320932979
normalized_ofi,5,2023-06-23,4927,0.5701380497906945,0.5755991184080154,0.11668313731972803,0.5485637857461308
normalized_ofi,5,2023-06-24,3555,0.6140896151093345,0.6164563813623702,0.14087633655757018,0.5833118279569892
normalized_ofi,5,2023-06-25,3988,0.6134851653806901,0.6148896302797371,0.1476174401934647,0.5836222170865111
ofi_10s_mean,5,2023-06-21,5695,0.5209581687227817,0.5197697047008005,0.011228743600974412,0.511828073404428
ofi_10s_mean,5,2023-06-22,5234,0.5332172951915585,0.537160108484721,0.05788839979450495,0.5237673457336877
ofi_10s_mean,5,2023-06-23,4927,0.5534272242200377,0.5537803104966442,0.05357905089877813,0.542831666772817
ofi_10s_mean,5,2023-06-24,3555,0.6108599761770466,0.6047062547480375,0.10227156901038205,0.5963870967741935
ofi_10s_mean,5,2023-06-25,3988,0.6086737937522829,0.6033157326374556,0.10972304352800553,0.5845466450966798
ofi_60s_mean,5,2023-06-21,5695,0.5280990616476814,0.5248291440696319,0.015233440140383714,0.5207058950901315
ofi_60s_mean,5,2023-06-22,5234,0.5190807504709223,0.5207083947066938,0.018929907786761773,0.5136699143785061
ofi_60s_mean,5,2023-06-23,4927,0.5471181042283924,0.5406883660730896,0.02253005214194884,0.5399656072861602
ofi_60s_mean,5,2023-06-24,3555,0.5670203363051736,0.5590484932894404,0.04408733203166649,0.5476129032258065
ofi_60s_mean,5,2023-06-25,3988,0.5662851443345007,0.5603380380041209,0.04528253771178809,0.5528079500808875
ofi_300s_mean,5,2023-06-21,5695,0.5287458268499555,0.5244665297201783,0.015024738999099105,0.5283927894765333
ofi_300s_mean,5,2023-06-22,5234,0.5249495078041996,0.5267383273713497,0.030558760348235806,0.519279598464718
ofi_300s_mean,5,2023-06-23,4927,0.534186106602455,0.5310476853922503,0.029472902344736474,0.5242341252149545
ofi_300s_mean,5,2023-06-24,3555,0.5507631450300889,0.5477095467206888,0.053808468524097604,0.5346236559139785
ofi_300s_mean,5,2023-06-25,3988,0.5445483768886249,0.5419982990437969,0.023888676362758255,0.5274632154687621
trade_imbalance,5,2023-06-21,5695,0.49617545840632343,0.495599982912555,-0.015131571359478886,0.49382649193111666
trade_imbalance,5,2023-06-22,5234,0.5156117140721854,0.5182878732084824,0.027096280165702036,0.5031334988766702
trade_imbalance,5,2023-06-23,4927,0.5419431489466502,0.54351120526897,0.04551233477340342,0.5274514811031665
trade_imbalance,5,2023-06-24,3555,0.5648169292048345,0.5657558875664725,0.07795060123397377,0.554345947814066
trade_imbalance,5,2023-06-25,3988,0.5657008656480033,0.5618518437464705,0.05513515628640242,0.5526376946316524
trade_imbalance_10s_mean,5,2023-06-21,5695,0.5044293517307527,0.5028916549807804,-0.005122539186603589,0.5015427921831863
trade_imbalance_10s_mean,5,2023-06-22,5234,0.5163291201535468,0.5175410909260948,0.0225067082951369,0.5071154413935636
trade_imbalance_10s_mean,5,2023-06-23,4927,0.5401373214131407,0.53593556013811,0.01991303914826532,0.525571619642061
trade_imbalance_10s_mean,5,2023-06-24,3555,0.5613450821539034,0.5535395036718157,0.03608661043619067,0.5439139784946236
trade_imbalance_10s_mean,5,2023-06-25,3988,0.5689489451357375,0.5648399624592275,0.06699545466399529,0.5497265233803251
trade_imbalance_60s_mean,5,2023-06-21,5695,0.5078020108669604,0.5049464696276839,-0.005322823517566638,0.5101499485735939
trade_imbalance_60s_mean,5,2023-06-22,5234,0.5048811332494022,0.5069452724977204,0.007543135835891702,0.5011514614703277
trade_imbalance_60s_mean,5,2023-06-23,4927,0.5340996625075756,0.5266174613792257,0.009631656791643028,0.5276733965989427
trade_imbalance_60s_mean,5,2023-06-24,3555,0.5170436423980369,0.5117741833375538,-0.008597258931979681,0.5170752688172043
trade_imbalance_60s_mean,5,2023-06-25,3988,0.5184694082810677,0.5166914817109476,0.00038105218419223655,0.5243817887681996
trade_imbalance_300s_mean,5,2023-06-21,5695,0.4971795634072592,0.4951409430244827,-0.018763420948194318,0.5036539814864938
trade_imbalance_300s_mean,5,2023-06-22,5234,0.5093235085572733,0.5119591837927567,0.021763992717519297,0.5068201948627103
