signal,horizon_seconds,weighted_roc_auc,weighted_auc_minus_chance,spearman_information_coefficient,earliest_peak_horizon_seconds,earliest_peak_weighted_auc,half_life_status,half_life_seconds
l1_imbalance,5,0.6072574903425851,0.10725749034258514,0.1423716214724565,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,15,0.55154665837323,0.051546658373230025,0.07764428962514296,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,30,0.535375114156211,0.035375114156210974,0.0559133331842798,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,60,0.5248768362510697,0.024876836251069734,0.040643900914453364,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,120,0.5168398087812205,0.01683980878122049,0.023871485822748274,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,300,0.5088937601968513,0.008893760196851286,0.022971840927977397,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
l1_imbalance,900,0.5029474731848715,0.0029474731848715408,0.013597017978475,5,0.6072574903425851,measurable_on_consumed_role_only,14.626268945470454
microprice_offset_bps,5,0.6042407034730395,0.10424070347303949,0.13833362076118877,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,15,0.550465112809494,0.05046511280949395,0.07679296593628662,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,30,0.5342158154269807,0.03421581542698071,0.053461208119671144,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,60,0.5241139317816135,0.024113931781613474,0.039329852528364774,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,120,0.5167662169626261,0.016766216962626146,0.023454328163243093,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,300,0.5089818621804774,0.008981862180477362,0.023606668684749272,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
microprice_offset_bps,900,0.5032574903052777,0.003257490305277666,0.012695601081520723,5,0.6042407034730395,measurable_on_consumed_role_only,14.692195119272231
normalized_ofi,5,0.5674786716674416,0.06747867166744159,0.09828108557164457,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,15,0.5295802273699666,0.029580227369966572,0.05010404562773154,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,30,0.5171533698547748,0.01715336985477478,0.032164314579511584,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,60,0.5107808267806782,0.010780826780678154,0.01882582690812713,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,120,0.5064931670424192,0.006493167042419201,0.005794448803612976,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,300,0.5020456216297753,0.002045621629775285,0.004482343537033661,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
normalized_ofi,900,0.5044284169518221,0.004428416951822056,0.009664580858795435,5,0.5674786716674416,measurable_on_consumed_role_only,13.902564856987725
ofi_10s_mean,5,0.559832604577203,0.059832604577202964,0.05863061354931678,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,15,0.5251892029821414,0.025189202982141445,0.024880167693201307,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,30,0.5177079310100995,0.017707931010099487,0.01665473782040553,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,60,0.5041265111293298,0.004126511129329824,-0.002562709931007152,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,120,0.49853748195672964,-0.0014625180432703555,-0.004244704567713681,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,300,0.4945018432883267,-0.005498156711673308,-0.003118520763031322,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_10s_mean,900,0.4989665707333109,-0.0010334292666890899,0.004196454950838834,5,0.559832604577203,measurable_on_consumed_role_only,13.635497933570734
ofi_60s_mean,5,0.5425689191094656,0.042568919109465586,0.026490802226232915,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,15,0.5186864835422911,0.018686483542291077,0.000660129750103624,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,30,0.5126625049173003,0.012662504917300255,-0.010714396666502299,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,60,0.5001116299990851,0.00011162999908509441,-0.018501774307453676,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,120,0.4963202104446998,-0.0036797895553001836,-0.009085185159447727,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,300,0.4845613148464415,-0.015438685153558507,-0.015988508292467556,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_60s_mean,900,0.5021829590146801,0.0021829590146801303,0.010696956048895366,5,0.5425689191094656,measurable_on_consumed_role_only,13.912181295272692
ofi_300s_mean,5,0.5353959609878136,0.03539596098781361,0.029396786056516445,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,15,0.5195525594422991,0.019552559442299056,0.015941825124015447,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,30,0.5115086584502633,0.011508658450263276,0.002136830210235424,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,60,0.5058918647817031,0.0058918647817031156,-0.004545964617273865,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,120,0.4952512795383966,-0.004748720461603406,-0.013206781875496561,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,300,0.4830551991708825,-0.01694480082911748,-0.02154883302884409,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
ofi_300s_mean,900,0.5122428272538129,0.012242827253812871,0.03349556146706143,5,0.5353959609878136,measurable_on_consumed_role_only,18.45835736335229
trade_imbalance,5,0.5344467756729477,0.03444677567294774,0.033329191137182884,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,15,0.5176402761754176,0.017640276175417635,0.019205119136283318,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,30,0.5105575286616053,0.010557528661605309,0.011780799489169588,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,60,0.499981126374259,-1.8873625740989386e-05,-0.002498287074667363,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,120,0.494178462467268,-0.005821537532732013,-0.006030863937077413,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,300,0.491582848012849,-0.008417151987150984,-0.0026443858902149777,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance,900,0.48921241797056386,-0.010787582029436138,-0.007742881417916743,5,0.5344467756729477,measurable_on_consumed_role_only,15.882895383742206
trade_imbalance_10s_mean,5,0.535512256226188,0.03551225622618803,0.024302415766045228,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_10s_mean,15,0.5199627865002502,0.019962786500250185,0.012332380842747454,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_10s_mean,30,0.511061900682091,0.011061900682091008,-0.0006648541033674027,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_10s_mean,60,0.49626517275923604,-0.0037348272407639604,-0.02101194524314288,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_10s_mean,120,0.48848942290209,-0.01151057709790998,-0.016543893191828633,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
