round,directional_spearman,horizon_hours,policy_id,rows,symbol
54,0.032605108858054455,1,median_q_all_seed_consensus,6552,ALL
54,0.02054966290803131,1,median_q_all_seed_consensus,2184,BTCUSDT
54,0.040204433610941774,1,median_q_all_seed_consensus,2184,ETHUSDT
54,0.03792378109298499,1,median_q_all_seed_consensus,2184,SOLUSDT
54,0.023095000081859524,4,median_q_all_seed_consensus,6552,ALL
54,0.002580612691926348,4,median_q_all_seed_consensus,2184,BTCUSDT
54,0.025552156704466363,4,median_q_all_seed_consensus,2184,ETHUSDT
54,0.03545007202455908,4,median_q_all_seed_consensus,2184,SOLUSDT
54,0.02282212632881972,12,median_q_all_seed_consensus,6552,ALL
54,0.0012417625845078041,12,median_q_all_seed_consensus,2184,BTCUSDT
54,0.01440207923937513,12,median_q_all_seed_consensus,2184,ETHUSDT
54,0.04231051048721606,12,median_q_all_seed_consensus,2184,SOLUSDT
54,0.014435989417561296,24,median_q_all_seed_consensus,6552,ALL
54,0.016510313667355128,24,median_q_all_seed_consensus,2184,BTCUSDT
54,0.004591730798921583,24,median_q_all_seed_consensus,2184,ETHUSDT
54,0.020832868868396155,24,median_q_all_seed_consensus,2184,SOLUSDT
54,0.0331331298301421,1,lower_tail_q_all_seed_consensus,6552,ALL
54,0.03997213751772691,1,lower_tail_q_all_seed_consensus,2184,BTCUSDT
54,0.03209967069635611,1,lower_tail_q_all_seed_consensus,2184,ETHUSDT
54,0.03029671025152362,1,lower_tail_q_all_seed_consensus,2184,SOLUSDT
54,0.027077578749709313,4,lower_tail_q_all_seed_consensus,6552,ALL
54,0.02354072873019466,4,lower_tail_q_all_seed_consensus,2184,BTCUSDT
54,0.023936229390510367,4,lower_tail_q_all_seed_consensus,2184,ETHUSDT
54,0.03072324254886408,4,lower_tail_q_all_seed_consensus,2184,SOLUSDT
54,0.044239258947149425,12,lower_tail_q_all_seed_consensus,6552,ALL
54,0.042335796348130054,12,lower_tail_q_all_seed_consensus,2184,BTCUSDT
54,0.04405320694259511,12,lower_tail_q_all_seed_consensus,2184,ETHUSDT
54,0.0383906053494542,12,lower_tail_q_all_seed_consensus,2184,SOLUSDT
54,0.035286018948786795,24,lower_tail_q_all_seed_consensus,6552,ALL
54,0.033325692244359585,24,lower_tail_q_all_seed_consensus,2184,BTCUSDT
54,0.03734279895615932,24,lower_tail_q_all_seed_consensus,2184,ETHUSDT
54,0.0254008458639417,24,lower_tail_q_all_seed_consensus,2184,SOLUSDT
