round,symbol,episode_id,decision_time_utc,end_time_utc,current_funding_bps,future_funding_settlements,source_eligible,source_ineligible_reasons,capacity_eligible,economically_scored,spot_pnl_usdt,perpetual_pnl_usdt,basis_pnl_usdt,short_funding_pnl_usdt,gross_pnl_usdt,exchange_taker_fees_usdt,additional_operational_slippage_usdt,stress_net_pnl_usdt,stress_net_committed_capital_bps
61,BTCUSDT,80b5272605757bedf465,2020-01-14T08:00:00Z,2020-01-21T08:00:00Z,2.59,21,true,,false,false,,,,,,,,,
61,BTCUSDT,d7e31c5bbd27897a607c,2020-01-22T08:00:00Z,2020-01-29T08:00:00Z,2.1392,21,true,,false,false,,,,,,,,,
61,BTCUSDT,cf0a5a7feb9e3ccfbe3f,2020-01-29T16:00:00Z,2020-02-05T16:00:00Z,5.3694,21,true,,false,false,,,,,,,,,
61,BTCUSDT,32af9f6a67f5473420ba,2020-02-06T00:00:00Z,2020-02-13T00:00:00Z,16.4021,20,true,,false,false,,,,,,,,,
61,BTCUSDT,38ac8d911a3ac407acc0,2020-02-13T00:00:00Z,2020-02-20T00:00:00Z,9.3553,20,true,,false,false,,,,,,,,,
61,BTCUSDT,87bb31cec631beee6314,2020-02-23T00:00:00Z,2020-03-01T00:00:00Z,2.9663,21,true,,false,false,,,,,,,,,
61,BTCUSDT,bf8ee7c1a0dead3b9ac1,2020-03-01T00:00:00Z,2020-03-08T00:00:00Z,4.9317,20,true,,false,false,,,,,,,,,
61,BTCUSDT,827b01325bd8e3c753a7,2020-03-08T00:00:00Z,2020-03-15T00:00:00Z,5.4685,21,true,,false,false,,,,,,,,,
61,BTCUSDT,2db68e0910b496860474,2020-04-30T08:00:00Z,2020-05-07T08:00:00Z,9.7517,20,true,,false,false,,,,,,,,,
61,BTCUSDT,951956f60b16e93f959b,2020-05-08T08:00:00Z,2020-05-15T08:00:00Z,3.4016,21,true,,false,false,,,,,,,,,
61,BTCUSDT,264c98a988c199766162,2020-06-02T00:00:00Z,2020-06-09T00:00:00Z,3.448,21,true,,false,false,,,,,,,,,
61,BTCUSDT,37e4b4795409bbfcd4a5,2020-07-26T16:00:00Z,2020-08-02T16:00:00Z,6.5437,20,true,,false,false,,,,,,,,,
61,BTCUSDT,5fc18d372f065e588332,2020-08-02T16:00:00Z,2020-08-09T16:00:00Z,2.4752,21,true,,false,false,,,,,,,,,
61,BTCUSDT,ced57f4a969e2c995e30,2020-08-10T08:00:00Z,2020-08-17T08:00:00Z,13.1898,21,true,,false,false,,,,,,,,,
61,BTCUSDT,fa8ca6417a48ac47b83e,2020-08-17T08:00:00Z,2020-08-24T08:00:00Z,3.9806,20,true,,false,false,,,,,,,,,
61,BTCUSDT,d8aac9c6e574683e7a6a,2020-08-25T16:00:00Z,2020-09-01T16:00:00Z,4.258,21,true,,false,false,,,,,,,,,
61,BTCUSDT,1c8ba1b16f936e0e2297,2020-09-01T16:00:00Z,2020-09-08T16:00:00Z,4.686,20,true,,false,false,,,,,,,,,
61,BTCUSDT,812f7f6ce536aa7208ab,2020-11-06T08:00:00Z,2020-11-13T08:00:00Z,2.3315,21,true,,false,false,,,,,,,,,
61,BTCUSDT,6c4b56077108da8317b0,2020-11-18T00:00:00Z,2020-11-25T00:00:00Z,2.1138,21,true,,false,false,,,,,,,,,
