actual_mean_bps,candidate_id,expected_net_mse_bps2,expected_net_mse_skill,expected_net_spearman,horizon_minutes,month,prediction_mean_bps,prediction_standard_deviation_bps,rows,scope,side,symbol,training_mean_baseline_mse_bps2
-12.005327789155919,direct_action_mean_tcn,1647.986081036739,-0.0007556750178410176,0.000998432750538169,15,,-11.548811955475808,1.308927614816676,156312,pooled,short,,1646.7416794887117
-12.099458986303873,direct_action_mean_tcn,680.5632208182781,-0.0010164285154530273,0.01062244480995038,15,,-11.583273752028298,0.8608599520315673,52104,symbol,short,BTCUSDT,679.8721793483253
-11.903369693168202,direct_action_mean_tcn,1712.9127844003474,-0.0004283555892619084,0.00027094261970004126,15,,-11.690832088516059,0.9778902590855458,52104,symbol,short,ETHUSDT,1712.1793628004727
-12.013154687995682,direct_action_mean_tcn,2550.4822378915915,-0.0009060378257568225,-0.004615132578290646,15,,-11.372330025883068,1.8412012604763377,52104,symbol,short,SOLUSDT,2548.173496317337
-12.385992068151989,direct_action_mean_tcn,1967.611964869076,-0.0008223557187667652,-0.0025755875546963603,15,2025-01,-11.60124391624767,1.513406182267924,26784,month,short,,1965.9952174589305
-10.825098536711522,direct_action_mean_tcn,2219.4233490559895,7.897860247241262e-05,-0.008687945831059887,15,2025-02,-11.55423553603423,1.3947219284098993,24192,month,short,,2219.598649855405
-11.6553125767084,direct_action_mean_tcn,1948.4979769599565,-0.000956449101318535,-0.008080083534648206,15,2025-03,-11.48006497758872,1.3011324968530937,26784,month,short,,1946.6361185937333
-12.414374050019699,direct_action_mean_tcn,1671.782626960644,-0.0008525217854586931,0.001049635333822074,15,2025-04,-11.5684042820546,1.2201238598021957,25920,month,short,,1670.358609856213
-12.607364558048431,direct_action_mean_tcn,1142.6608323306466,-0.001201598860161246,0.017196043614199102,15,2025-05,-11.566576238360078,1.201010733507872,26784,month,short,,1141.2894602161368
-12.044161338254195,direct_action_mean_tcn,970.326080653804,-0.0012752358591308077,0.006361424594147535,15,2025-06,-11.522587199202603,1.1899525832258302,25848,month,short,,969.0902620009659
-11.994672209855704,direct_action_mean_tcn,1648.7267262486225,-0.0012054389727145232,0.00875550472926849,15,,-12.09591675738813,1.4486646860601111,156312,pooled,long,,1646.741679649979
-11.900541010017166,direct_action_mean_tcn,680.5161460136368,-0.0009471872995017172,0.012206100368510612,15,,-12.10896628701252,0.9134517329258393,52104,symbol,long,BTCUSDT,679.8721797197217
-12.096630306200336,direct_action_mean_tcn,1713.6148659694195,-0.0008384066702475934,0.014285906625723618,15,,-11.939069455814685,1.1976604759710596,52104,symbol,long,ETHUSDT,1712.1793633705095
-11.98684531334961,direct_action_mean_tcn,2552.0491667628103,-0.0015209603700065966,0.002455112626792718,15,,-12.239714529337185,1.995408296157124,52104,symbol,long,SOLUSDT,2548.1734958597067
-11.614007931972633,direct_action_mean_tcn,1970.7014423865992,-0.0023938128263694125,0.005015767772204568,15,2025-01,-12.05937744014866,1.6333482623797697,26784,month,long,,1965.9952178176063
-13.174901465358085,direct_action_mean_tcn,2220.796970535921,-0.0005398820499726842,-0.0009843925291224403,15,2025-02,-12.10778648751712,1.534237369656615,24192,month,long,,2219.598649067146
-12.344687422454856,direct_action_mean_tcn,1949.0718984972689,-0.0012512762540013433,-0.007043284892951405,15,2025-03,-12.203945201666961,1.4568298953548466,26784,month,long,,1946.6361189464499
-11.585625945344383,direct_action_mean_tcn,1671.2419651490452,-0.00052884144043297,0.0057584542477364786,15,2025-04,-12.073111253960775,1.4043439461995046,25920,month,long,,1670.358610295537
-11.39263544015346,direct_action_mean_tcn,1142.1626685530512,-0.0007651064828990695,0.03579948947548178,15,2025-05,-12.03037663117201,1.351645532097934,26784,month,long,,1141.289460587891
-11.955838661081685,direct_action_mean_tcn,970.7817203941485,-0.0017454083578825053,0.013991106154538777,15,2025-06,-12.101512087762115,1.278688995687338,25848,month,long,,969.0902621510475
-12.005327789155919,hurdle_action_value_tcn,1651.3843700103482,-0.0028193192529613054,-0.000641377506215588,15,,-12.653240969742077,2.0336532802877243,156312,pooled,short,,1646.7416794887117
-12.099458986303873,hurdle_action_value_tcn,681.8423811805878,-0.0028979003584923557,0.007682512618824488,15,,-12.280494261321198,1.3615482864614716,52104,symbol,short,BTCUSDT,679.8721793483253
-11.903369693168202,hurdle_action_value_tcn,1715.615162748118,-0.0020066822567150755,0.001801155476893519,15,,-12.06871677485244,1.8487955599008126,52104,symbol,short,ETHUSDT,1712.1793628004727
-12.013154687995682,hurdle_action_value_tcn,2556.6955661023394,-0.0033443836525726134,-0.0014378644471134316,15,,-13.610511873052591,2.3954961926968337,52104,symbol,short,SOLUSDT,2548.173496317337
-12.385992068151989,hurdle_action_value_tcn,1973.5584250650975,-0.0038470122098988035,-0.0010974684046540673,15,2025-01,-12.83109074096336,2.4125318201538732,26784,month,short,,1965.9952174589305
-10.825098536711522,hurdle_action_value_tcn,2225.07420151541,-0.0024669107004375856,-0.015323805709581768,15,2025-02,-12.42286262926654,2.303216661452782,24192,month,short,,2219.598649855405
-11.6553125767084,hurdle_action_value_tcn,1955.837036166831,-0.0047265729250645094,-0.006341705376637413,15,2025-03,-12.420994223802035,2.1514121058371876,26784,month,short,,1946.6361185937333
-12.414374050019699,hurdle_action_value_tcn,1673.7660080254923,-0.002039920140006757,0.0006328881972231871,15,2025-04,-12.592042979266909,2.049948093333246,25920,month,short,,1670.358609856213
-12.607364558048431,hurdle_action_value_tcn,1143.0298700442268,-0.0015249504080763199,0.01343870172451819,15,2025-05,-12.83422728485199,1.6052475744301986,26784,month,short,,1141.2894602161368
-12.044161338254195,hurdle_action_value_tcn,969.4499984940988,-0.00037121051282684725,-0.0015749686321547616,15,2025-06,-12.799054798002054,1.46174283929955,25848,month,short,,969.0902620009659
-11.994672209855704,hurdle_action_value_tcn,1650.4505472845754,-0.0022522461661289572,0.0045157613240759025,15,,-11.385291930531675,2.0955110802995067,156312,pooled,long,,1646.741679649979
-11.900541010017166,hurdle_action_value_tcn,680.8495606112469,-0.0014375950666611903,0.010205051739669546,15,,-11.52949848765452,1.3836554669716443,52104,symbol,long,BTCUSDT,679.8721797197217
-12.096630306200336,hurdle_action_value_tcn,1718.0585446246082,-0.0034337414524874266,0.006410006352467066,15,,-10.77652927190317,1.9479744553510432,52104,symbol,long,ETHUSDT,1712.1793633705095
-11.98684531334961,hurdle_action_value_tcn,2552.44353661787,-0.0016757260701052434,-0.000390693153279023,15,,-11.849848032037338,2.618624305983868,52104,symbol,long,SOLUSDT,2548.1734958597067
-11.614007931972633,hurdle_action_value_tcn,1976.1664324732756,-0.005173570395028637,-0.002697910896282654,15,2025-01,-11.372189281596599,2.5959543646415413,26784,month,long,,1965.9952178176063
-13.174901465358085,hurdle_action_value_tcn,2224.3800823775787,-0.002154188241393129,0.0005317608557727807,15,2025-02,-11.35746475059467,2.577480797570619,24192,month,long,,2219.598649067146
-12.344687422454856,hurdle_action_value_tcn,1951.5662651587766,-0.002532649098792472,0.0012297068146066834,15,2025-03,-11.345088998393583,2.2253731749819017,26784,month,long,,1946.6361189464499
-11.585625945344383,hurdle_action_value_tcn,1672.1860216232226,-0.0010940233530825072,-0.0010228287574509034,15,2025-04,-11.268149337865445,1.9281455704619148,25920,month,long,,1670.358610295537
-11.39263544015346,hurdle_action_value_tcn,1140.769238593632,0.00045581950260975557,0.021742107504174893,15,2025-05,-11.335994671981252,1.495452646058706,26784,month,long,,1141.289460587891
-11.955838661081685,hurdle_action_value_tcn,970.1023465616478,-0.0010443654736080887,0.006897157721591677,15,2025-06,-11.635123468578065,1.4476853869909183,25848,month,long,,969.0902621510475
