variant,feature_set,weighting,rank,feature,normalized_gain
full_uniqueness,full,uniqueness,1,ofi_300s_mean,0.11562606120119051
full_uniqueness,full,uniqueness,2,utc_day_cos,0.10426973474978202
full_uniqueness,full,uniqueness,3,funding_cycle_cos,0.07792942213004547
full_uniqueness,full,uniqueness,4,utc_day_sin,0.06603330456671318
full_uniqueness,full,uniqueness,5,utc_week_sin,0.05316568478824392
full_uniqueness,full,uniqueness,6,volatility_900s_vs_3600s,0.04570802414946408
full_uniqueness,full,uniqueness,7,return_3600s_vol_units,0.04092478743120873
full_uniqueness,full,uniqueness,8,funding_cycle_sin,0.03930376859067813
full_uniqueness,full,uniqueness,9,return_900s_vol_units,0.03599824631387604
full_uniqueness,full,uniqueness,10,utc_week_cos,0.02949641394480677
full_uniqueness,full,uniqueness,11,realized_volatility_300s_bps,0.028557227154063034
full_uniqueness,full,uniqueness,12,realized_volatility_1800s_bps,0.027925827055607155
full_uniqueness,full,uniqueness,13,volatility_300s_vs_3600s,0.027355049837417943
full_uniqueness,full,uniqueness,14,realized_volatility_3600s_bps,0.024781906138074038
full_uniqueness,full,uniqueness,15,range_900s_bps,0.02468172381774417
full_uniqueness,full,uniqueness,16,range_1800s_bps,0.022226918626708763
full_uniqueness,full,uniqueness,17,imbalance_300s_mean,0.021441265845733967
full_uniqueness,full,uniqueness,18,return_3600s_bps,0.018617774066910987
full_uniqueness,full,uniqueness,19,return_1800s_bps,0.017062423260350065
full_uniqueness,full,uniqueness,20,return_efficiency_900s,0.01705660863348977
full_uniqueness,full,uniqueness,21,spread_bps,0.016256663066113945
full_uniqueness,full,uniqueness,22,range_300s_bps,0.01478586702808146
full_uniqueness,full,uniqueness,23,realized_volatility_900s_bps,0.013798167806938842
full_uniqueness,full,uniqueness,24,range_3600s_bps,0.013089329770990312
full_uniqueness,full,uniqueness,25,return_60s_vol_units,0.01115897145945723
full_uniqueness,full,uniqueness,26,weekend_flag,0.010320101518314733
full_uniqueness,full,uniqueness,27,return_900s_bps,0.009630036007816499
full_uniqueness,full,uniqueness,28,return_1800s_vol_units,0.009514213160159482
full_uniqueness,full,uniqueness,29,trade_imbalance_300s_mean,0.009122474449236032
full_uniqueness,full,uniqueness,30,return_300s_bps,0.007308728166627064
full_uniqueness,full,uniqueness,31,return_300s_vol_units,0.006168175171530808
full_uniqueness,full,uniqueness,32,signed_flow_300s,0.005946913446700177
full_uniqueness,full,uniqueness,33,volatility_60s_vs_900s,0.005641719533754393
full_uniqueness,full,uniqueness,34,realized_volatility_120s_bps,0.005370058541228305
full_uniqueness,full,uniqueness,35,return_efficiency_3600s,0.004757180516094217
full_uniqueness,full,uniqueness,36,return_120s_bps,0.0040097136056156755
full_uniqueness,full,uniqueness,37,trade_imbalance_60s_mean,0.003807217796061859
full_uniqueness,full,uniqueness,38,log_ask_l1_depth_quote,0.0020874286417030046
full_uniqueness,full,uniqueness,39,return_60s_bps,0.0019689747001798534
full_uniqueness,full,uniqueness,40,signed_pressure_to_opposing_depth_300s,0.0017329135313920447
full_uniqueness,full,uniqueness,41,max_spread_bps,0.0016054424563683354
