round,day_utc,symbol,bid_bucket,bid_bucket_label,ask_bucket,ask_bucket_label,rows
58,2023-06-01,BTCUSDT,0,unfilled_by_15s,0,unfilled_by_15s,4297
58,2023-06-01,BTCUSDT,0,unfilled_by_15s,1,filled_by_5s,1279
58,2023-06-01,BTCUSDT,0,unfilled_by_15s,2,filled_5s_to_10s,538
58,2023-06-01,BTCUSDT,0,unfilled_by_15s,3,filled_10s_to_15s,271
58,2023-06-01,BTCUSDT,1,filled_by_5s,0,unfilled_by_15s,1233
58,2023-06-01,BTCUSDT,1,filled_by_5s,1,filled_by_5s,68
58,2023-06-01,BTCUSDT,1,filled_by_5s,2,filled_5s_to_10s,22
58,2023-06-01,BTCUSDT,1,filled_by_5s,3,filled_10s_to_15s,14
58,2023-06-01,BTCUSDT,2,filled_5s_to_10s,0,unfilled_by_15s,491
58,2023-06-01,BTCUSDT,2,filled_5s_to_10s,1,filled_by_5s,31
58,2023-06-01,BTCUSDT,2,filled_5s_to_10s,2,filled_5s_to_10s,44
58,2023-06-01,BTCUSDT,2,filled_5s_to_10s,3,filled_10s_to_15s,23
58,2023-06-01,BTCUSDT,3,filled_10s_to_15s,0,unfilled_by_15s,265
58,2023-06-01,BTCUSDT,3,filled_10s_to_15s,1,filled_by_5s,11
58,2023-06-01,BTCUSDT,3,filled_10s_to_15s,2,filled_5s_to_10s,27
58,2023-06-01,BTCUSDT,3,filled_10s_to_15s,3,filled_10s_to_15s,25
58,2023-06-01,ETHUSDT,0,unfilled_by_15s,0,unfilled_by_15s,4394
58,2023-06-01,ETHUSDT,0,unfilled_by_15s,1,filled_by_5s,1205
58,2023-06-01,ETHUSDT,0,unfilled_by_15s,2,filled_5s_to_10s,536
58,2023-06-01,ETHUSDT,0,unfilled_by_15s,3,filled_10s_to_15s,255
58,2023-06-01,ETHUSDT,1,filled_by_5s,0,unfilled_by_15s,1221
58,2023-06-01,ETHUSDT,1,filled_by_5s,1,filled_by_5s,64
58,2023-06-01,ETHUSDT,1,filled_by_5s,2,filled_5s_to_10s,22
58,2023-06-01,ETHUSDT,1,filled_by_5s,3,filled_10s_to_15s,9
58,2023-06-01,ETHUSDT,2,filled_5s_to_10s,0,unfilled_by_15s,545
58,2023-06-01,ETHUSDT,2,filled_5s_to_10s,1,filled_by_5s,22
58,2023-06-01,ETHUSDT,2,filled_5s_to_10s,2,filled_5s_to_10s,25
58,2023-06-01,ETHUSDT,2,filled_5s_to_10s,3,filled_10s_to_15s,15
58,2023-06-01,ETHUSDT,3,filled_10s_to_15s,0,unfilled_by_15s,279
58,2023-06-01,ETHUSDT,3,filled_10s_to_15s,1,filled_by_5s,12
58,2023-06-01,ETHUSDT,3,filled_10s_to_15s,2,filled_5s_to_10s,13
58,2023-06-01,ETHUSDT,3,filled_10s_to_15s,3,filled_10s_to_15s,22
58,2023-06-01,SOLUSDT,0,unfilled_by_15s,0,unfilled_by_15s,5800
58,2023-06-01,SOLUSDT,0,unfilled_by_15s,1,filled_by_5s,506
58,2023-06-01,SOLUSDT,0,unfilled_by_15s,2,filled_5s_to_10s,403
58,2023-06-01,SOLUSDT,0,unfilled_by_15s,3,filled_10s_to_15s,328
58,2023-06-01,SOLUSDT,1,filled_by_5s,0,unfilled_by_15s,454
58,2023-06-01,SOLUSDT,1,filled_by_5s,1,filled_by_5s,50
58,2023-06-01,SOLUSDT,1,filled_by_5s,2,filled_5s_to_10s,37
58,2023-06-01,SOLUSDT,1,filled_by_5s,3,filled_10s_to_15s,10
58,2023-06-01,SOLUSDT,2,filled_5s_to_10s,0,unfilled_by_15s,380
58,2023-06-01,SOLUSDT,2,filled_5s_to_10s,1,filled_by_5s,29
58,2023-06-01,SOLUSDT,2,filled_5s_to_10s,2,filled_5s_to_10s,33
58,2023-06-01,SOLUSDT,2,filled_5s_to_10s,3,filled_10s_to_15s,26
58,2023-06-01,SOLUSDT,3,filled_10s_to_15s,0,unfilled_by_15s,292
58,2023-06-01,SOLUSDT,3,filled_10s_to_15s,1,filled_by_5s,26
58,2023-06-01,SOLUSDT,3,filled_10s_to_15s,2,filled_5s_to_10s,23
58,2023-06-01,SOLUSDT,3,filled_10s_to_15s,3,filled_10s_to_15s,34
