round,role,scope,symbol,action_or_side,passed
57,policy_calibration,payoff_early_quality,ALL,ALL,true
57,policy_calibration,queue_fill,BTCUSDT,long,true
57,policy_calibration,queue_fill,BTCUSDT,short,true
57,policy_calibration,queue_fill,ETHUSDT,long,true
57,policy_calibration,queue_fill,ETHUSDT,short,true
57,policy_calibration,queue_fill,SOLUSDT,long,true
57,policy_calibration,queue_fill,SOLUSDT,short,true
57,policy_calibration,conditional_payoff,BTCUSDT,passive_long,true
57,policy_calibration,conditional_payoff,BTCUSDT,passive_short,true
57,policy_calibration,conditional_payoff,BTCUSDT,aggressive_long,true
57,policy_calibration,conditional_payoff,BTCUSDT,aggressive_short,false
57,policy_calibration,conditional_payoff,ETHUSDT,passive_long,false
57,policy_calibration,conditional_payoff,ETHUSDT,passive_short,true
57,policy_calibration,conditional_payoff,ETHUSDT,aggressive_long,true
57,policy_calibration,conditional_payoff,ETHUSDT,aggressive_short,false
57,policy_calibration,conditional_payoff,SOLUSDT,passive_long,false
57,policy_calibration,conditional_payoff,SOLUSDT,passive_short,false
57,policy_calibration,conditional_payoff,SOLUSDT,aggressive_long,false
57,policy_calibration,conditional_payoff,SOLUSDT,aggressive_short,false
57,policy_calibration,predictive_gate,ALL,ALL,false
57,evaluation,payoff_early_quality,ALL,ALL,true
57,evaluation,queue_fill,BTCUSDT,long,true
57,evaluation,queue_fill,BTCUSDT,short,true
57,evaluation,queue_fill,ETHUSDT,long,true
57,evaluation,queue_fill,ETHUSDT,short,true
57,evaluation,queue_fill,SOLUSDT,long,true
57,evaluation,queue_fill,SOLUSDT,short,true
57,evaluation,conditional_payoff,BTCUSDT,passive_long,false
57,evaluation,conditional_payoff,BTCUSDT,passive_short,false
57,evaluation,conditional_payoff,BTCUSDT,aggressive_long,false
57,evaluation,conditional_payoff,BTCUSDT,aggressive_short,false
57,evaluation,conditional_payoff,ETHUSDT,passive_long,true
57,evaluation,conditional_payoff,ETHUSDT,passive_short,false
57,evaluation,conditional_payoff,ETHUSDT,aggressive_long,true
57,evaluation,conditional_payoff,ETHUSDT,aggressive_short,true
57,evaluation,conditional_payoff,SOLUSDT,passive_long,false
57,evaluation,conditional_payoff,SOLUSDT,passive_short,false
57,evaluation,conditional_payoff,SOLUSDT,aggressive_long,false
57,evaluation,conditional_payoff,SOLUSDT,aggressive_short,false
57,evaluation,predictive_gate,ALL,ALL,false
