treatment,interval,scenario,month,hours,return_fraction,maximum_drawdown_fraction
baseline_71,policy_development,base,2024-07,744,0.002572275045514665,0.00018904271023736368
baseline_71,policy_development,base,2024-08,743,0.00035650810873304244,0.001659656604080494
baseline_71,policy_development,stress,2024-07,744,0.0023820841008398534,0.0002163687210071367
baseline_71,policy_development,stress,2024-08,743,6.531816737803282e-05,0.001810043678854975
baseline_71,development_holdout,base,2024-09,719,0.0010475704815170583,0.0016083639251217741
baseline_71,development_holdout,stress,2024-09,719,0.0009004136171091279,0.00164475773495353
ai_program_augmented,policy_development,base,2024-07,744,0.0024631612129936697,0.0
ai_program_augmented,policy_development,base,2024-08,743,0.001426946307051442,0.0002235123138019536
ai_program_augmented,policy_development,stress,2024-07,744,0.0023373502207264924,0.0
ai_program_augmented,policy_development,stress,2024-08,743,0.0013213405873509878,0.00025372458317462294
ai_program_augmented,development_holdout,base,2024-09,719,0.0006489519090469333,0.0016083639251217741
ai_program_augmented,development_holdout,stress,2024-09,719,0.0005590648112235152,0.00164475773495353
