bin,candidate_id,count,horizon_minutes,lower,upper
0,single_logistic_tcn,6892,15,0.0,0.05
1,single_logistic_tcn,7241,15,0.05,0.1
2,single_logistic_tcn,7636,15,0.1,0.15000000000000002
3,single_logistic_tcn,8124,15,0.15000000000000002,0.2
4,single_logistic_tcn,8107,15,0.2,0.25
5,single_logistic_tcn,8201,15,0.25,0.30000000000000004
6,single_logistic_tcn,7926,15,0.30000000000000004,0.35000000000000003
7,single_logistic_tcn,7876,15,0.35000000000000003,0.4
8,single_logistic_tcn,7831,15,0.4,0.45
9,single_logistic_tcn,7659,15,0.45,0.5
10,single_logistic_tcn,7891,15,0.5,0.55
11,single_logistic_tcn,7912,15,0.55,0.6000000000000001
12,single_logistic_tcn,7917,15,0.6000000000000001,0.65
13,single_logistic_tcn,7933,15,0.65,0.7000000000000001
14,single_logistic_tcn,8467,15,0.7000000000000001,0.75
15,single_logistic_tcn,8427,15,0.75,0.8
16,single_logistic_tcn,8251,15,0.8,0.8500000000000001
17,single_logistic_tcn,7970,15,0.8500000000000001,0.9
18,single_logistic_tcn,7411,15,0.9,0.9500000000000001
19,single_logistic_tcn,6627,15,0.9500000000000001,1.0
0,single_logistic_tcn,7266,30,0.0,0.05
1,single_logistic_tcn,6902,30,0.05,0.1
2,single_logistic_tcn,7378,30,0.1,0.15000000000000002
3,single_logistic_tcn,7807,30,0.15000000000000002,0.2
4,single_logistic_tcn,7946,30,0.2,0.25
5,single_logistic_tcn,7815,30,0.25,0.30000000000000004
6,single_logistic_tcn,7687,30,0.30000000000000004,0.35000000000000003
7,single_logistic_tcn,7972,30,0.35000000000000003,0.4
8,single_logistic_tcn,7850,30,0.4,0.45
9,single_logistic_tcn,7875,30,0.45,0.5
10,single_logistic_tcn,8089,30,0.5,0.55
11,single_logistic_tcn,8043,30,0.55,0.6000000000000001
12,single_logistic_tcn,8004,30,0.6000000000000001,0.65
13,single_logistic_tcn,8297,30,0.65,0.7000000000000001
14,single_logistic_tcn,8372,30,0.7000000000000001,0.75
15,single_logistic_tcn,8459,30,0.75,0.8
16,single_logistic_tcn,8339,30,0.8,0.8500000000000001
17,single_logistic_tcn,7986,30,0.8500000000000001,0.9
18,single_logistic_tcn,7121,30,0.9,0.9500000000000001
19,single_logistic_tcn,7089,30,0.9500000000000001,1.0
0,single_logistic_tcn,7323,60,0.0,0.05
1,single_logistic_tcn,6565,60,0.05,0.1
2,single_logistic_tcn,6972,60,0.1,0.15000000000000002
3,single_logistic_tcn,7108,60,0.15000000000000002,0.2
4,single_logistic_tcn,7514,60,0.2,0.25
5,single_logistic_tcn,7616,60,0.25,0.30000000000000004
6,single_logistic_tcn,7752,60,0.30000000000000004,0.35000000000000003
7,single_logistic_tcn,7980,60,0.35000000000000003,0.4
8,single_logistic_tcn,7805,60,0.4,0.45
9,single_logistic_tcn,8172,60,0.45,0.5
10,single_logistic_tcn,8353,60,0.5,0.55
11,single_logistic_tcn,8665,60,0.55,0.6000000000000001
12,single_logistic_tcn,8595,60,0.6000000000000001,0.65
13,single_logistic_tcn,8707,60,0.65,0.7000000000000001
14,single_logistic_tcn,8581,60,0.7000000000000001,0.75
15,single_logistic_tcn,8428,60,0.75,0.8
16,single_logistic_tcn,8179,60,0.8,0.8500000000000001
17,single_logistic_tcn,7865,60,0.8500000000000001,0.9
18,single_logistic_tcn,7205,60,0.9,0.9500000000000001
19,single_logistic_tcn,6912,60,0.9500000000000001,1.0
0,single_logistic_tcn,7492,120,0.0,0.05
1,single_logistic_tcn,6553,120,0.05,0.1
2,single_logistic_tcn,6615,120,0.1,0.15000000000000002
3,single_logistic_tcn,7153,120,0.15000000000000002,0.2
4,single_logistic_tcn,7064,120,0.2,0.25
5,single_logistic_tcn,7395,120,0.25,0.30000000000000004
6,single_logistic_tcn,7583,120,0.30000000000000004,0.35000000000000003
7,single_logistic_tcn,7797,120,0.35000000000000003,0.4
8,single_logistic_tcn,8022,120,0.4,0.45
9,single_logistic_tcn,8268,120,0.45,0.5
10,single_logistic_tcn,8404,120,0.5,0.55
11,single_logistic_tcn,8761,120,0.55,0.6000000000000001
12,single_logistic_tcn,8797,120,0.6000000000000001,0.65
13,single_logistic_tcn,8797,120,0.65,0.7000000000000001
14,single_logistic_tcn,8529,120,0.7000000000000001,0.75
15,single_logistic_tcn,8657,120,0.75,0.8
16,single_logistic_tcn,8386,120,0.8,0.8500000000000001
17,single_logistic_tcn,7674,120,0.8500000000000001,0.9
18,single_logistic_tcn,7213,120,0.9,0.9500000000000001
19,single_logistic_tcn,7125,120,0.9500000000000001,1.0
0,state_mixture_logistic_tcn,7019,15,0.0,0.05
1,state_mixture_logistic_tcn,8199,15,0.05,0.1
2,state_mixture_logistic_tcn,8381,15,0.1,0.15000000000000002
3,state_mixture_logistic_tcn,8714,15,0.15000000000000002,0.2
4,state_mixture_logistic_tcn,8327,15,0.2,0.25
5,state_mixture_logistic_tcn,8195,15,0.25,0.30000000000000004
6,state_mixture_logistic_tcn,7984,15,0.30000000000000004,0.35000000000000003
7,state_mixture_logistic_tcn,7763,15,0.35000000000000003,0.4
8,state_mixture_logistic_tcn,7553,15,0.4,0.45
9,state_mixture_logistic_tcn,7574,15,0.45,0.5
10,state_mixture_logistic_tcn,7482,15,0.5,0.55
11,state_mixture_logistic_tcn,7619,15,0.55,0.6000000000000001
12,state_mixture_logistic_tcn,7496,15,0.6000000000000001,0.65
13,state_mixture_logistic_tcn,7642,15,0.65,0.7000000000000001
14,state_mixture_logistic_tcn,7855,15,0.7000000000000001,0.75
15,state_mixture_logistic_tcn,8053,15,0.75,0.8
16,state_mixture_logistic_tcn,8064,15,0.8,0.8500000000000001
17,state_mixture_logistic_tcn,7885,15,0.8500000000000001,0.9
18,state_mixture_logistic_tcn,7836,15,0.9,0.9500000000000001
19,state_mixture_logistic_tcn,6670,15,0.9500000000000001,1.0
0,state_mixture_logistic_tcn,7457,30,0.0,0.05
1,state_mixture_logistic_tcn,8300,30,0.05,0.1
2,state_mixture_logistic_tcn,8611,30,0.1,0.15000000000000002
3,state_mixture_logistic_tcn,8506,30,0.15000000000000002,0.2
4,state_mixture_logistic_tcn,8386,30,0.2,0.25
5,state_mixture_logistic_tcn,7967,30,0.25,0.30000000000000004
6,state_mixture_logistic_tcn,7759,30,0.30000000000000004,0.35000000000000003
7,state_mixture_logistic_tcn,7679,30,0.35000000000000003,0.4
8,state_mixture_logistic_tcn,7481,30,0.4,0.45
9,state_mixture_logistic_tcn,7492,30,0.45,0.5
10,state_mixture_logistic_tcn,7584,30,0.5,0.55
11,state_mixture_logistic_tcn,7441,30,0.55,0.6000000000000001
12,state_mixture_logistic_tcn,7476,30,0.6000000000000001,0.65
13,state_mixture_logistic_tcn,7778,30,0.65,0.7000000000000001
14,state_mixture_logistic_tcn,7987,30,0.7000000000000001,0.75
15,state_mixture_logistic_tcn,8023,30,0.75,0.8
16,state_mixture_logistic_tcn,8065,30,0.8,0.8500000000000001
17,state_mixture_logistic_tcn,7920,30,0.8500000000000001,0.9
18,state_mixture_logistic_tcn,7639,30,0.9,0.9500000000000001
19,state_mixture_logistic_tcn,6761,30,0.9500000000000001,1.0
0,state_mixture_logistic_tcn,7430,60,0.0,0.05
1,state_mixture_logistic_tcn,8199,60,0.05,0.1
2,state_mixture_logistic_tcn,8208,60,0.1,0.15000000000000002
3,state_mixture_logistic_tcn,8158,60,0.15000000000000002,0.2
4,state_mixture_logistic_tcn,7948,60,0.2,0.25
5,state_mixture_logistic_tcn,7838,60,0.25,0.30000000000000004
6,state_mixture_logistic_tcn,7820,60,0.30000000000000004,0.35000000000000003
7,state_mixture_logistic_tcn,7424,60,0.35000000000000003,0.4
8,state_mixture_logistic_tcn,7337,60,0.4,0.45
9,state_mixture_logistic_tcn,7626,60,0.45,0.5
10,state_mixture_logistic_tcn,7745,60,0.5,0.55
11,state_mixture_logistic_tcn,7875,60,0.55,0.6000000000000001
12,state_mixture_logistic_tcn,7956,60,0.6000000000000001,0.65
13,state_mixture_logistic_tcn,7962,60,0.65,0.7000000000000001
14,state_mixture_logistic_tcn,8010,60,0.7000000000000001,0.75
15,state_mixture_logistic_tcn,8207,60,0.75,0.8
16,state_mixture_logistic_tcn,8194,60,0.8,0.8500000000000001
17,state_mixture_logistic_tcn,8085,60,0.8500000000000001,0.9
18,state_mixture_logistic_tcn,7687,60,0.9,0.9500000000000001
19,state_mixture_logistic_tcn,6602,60,0.9500000000000001,1.0
0,state_mixture_logistic_tcn,7988,120,0.0,0.05
1,state_mixture_logistic_tcn,8329,120,0.05,0.1
2,state_mixture_logistic_tcn,8591,120,0.1,0.15000000000000002
3,state_mixture_logistic_tcn,8134,120,0.15000000000000002,0.2
4,state_mixture_logistic_tcn,7824,120,0.2,0.25
5,state_mixture_logistic_tcn,7593,120,0.25,0.30000000000000004
6,state_mixture_logistic_tcn,7542,120,0.30000000000000004,0.35000000000000003
7,state_mixture_logistic_tcn,7342,120,0.35000000000000003,0.4
8,state_mixture_logistic_tcn,7156,120,0.4,0.45
9,state_mixture_logistic_tcn,7423,120,0.45,0.5
10,state_mixture_logistic_tcn,7419,120,0.5,0.55
11,state_mixture_logistic_tcn,7588,120,0.55,0.6000000000000001
12,state_mixture_logistic_tcn,7687,120,0.6000000000000001,0.65
13,state_mixture_logistic_tcn,7642,120,0.65,0.7000000000000001
