round,treatment,interval,view,seed,side,spearman
55,baseline_71,policy_development,raw_uniform,5501,long,0.05142905633182879
55,baseline_71,policy_development,raw_uniform,5501,short,0.04726909797312763
55,baseline_71,policy_development,raw_uniform,5502,long,0.0605746261991196
55,baseline_71,policy_development,raw_uniform,5502,short,0.04924720062588249
55,baseline_71,policy_development,raw_uniform,5503,long,0.05665187514935412
55,baseline_71,policy_development,raw_uniform,5503,short,0.05156233230374367
55,baseline_71,policy_development,risk_normalized_uniform,5501,long,0.056924018664239316
55,baseline_71,policy_development,risk_normalized_uniform,5501,short,0.04929167425878884
55,baseline_71,policy_development,risk_normalized_uniform,5502,long,0.06087731454128376
55,baseline_71,policy_development,risk_normalized_uniform,5502,short,0.05151366281427983
55,baseline_71,policy_development,risk_normalized_uniform,5503,long,0.05806413988237981
55,baseline_71,policy_development,risk_normalized_uniform,5503,short,0.05171157819562284
55,baseline_71,policy_development,risk_normalized_recency_180d,5501,long,0.04275537025989459
55,baseline_71,policy_development,risk_normalized_recency_180d,5501,short,0.043863056904706536
55,baseline_71,policy_development,risk_normalized_recency_180d,5502,long,0.03467046458948742
55,baseline_71,policy_development,risk_normalized_recency_180d,5502,short,0.0491910483836278
55,baseline_71,policy_development,risk_normalized_recency_180d,5503,long,0.03455506872431864
55,baseline_71,policy_development,risk_normalized_recency_180d,5503,short,0.04379696841291877
55,baseline_71,development_holdout,raw_uniform,5501,long,0.07496838122740172
55,baseline_71,development_holdout,raw_uniform,5501,short,0.07574864582934254
55,baseline_71,development_holdout,raw_uniform,5502,long,0.07927287657745505
55,baseline_71,development_holdout,raw_uniform,5502,short,0.09139973331698871
55,baseline_71,development_holdout,raw_uniform,5503,long,0.07838230799029855
55,baseline_71,development_holdout,raw_uniform,5503,short,0.09593839821828942
55,baseline_71,development_holdout,risk_normalized_uniform,5501,long,0.05548108173544648
55,baseline_71,development_holdout,risk_normalized_uniform,5501,short,0.09332708882757926
55,baseline_71,development_holdout,risk_normalized_uniform,5502,long,0.0646347023206578
55,baseline_71,development_holdout,risk_normalized_uniform,5502,short,0.09801682111053163
55,baseline_71,development_holdout,risk_normalized_uniform,5503,long,0.06600337365955329
55,baseline_71,development_holdout,risk_normalized_uniform,5503,short,0.10864270053556312
55,baseline_71,development_holdout,risk_normalized_recency_180d,5501,long,0.08632739885298743
55,baseline_71,development_holdout,risk_normalized_recency_180d,5501,short,0.10266123539108098
55,baseline_71,development_holdout,risk_normalized_recency_180d,5502,long,0.08714840197029876
55,baseline_71,development_holdout,risk_normalized_recency_180d,5502,short,0.11292183138940784
55,baseline_71,development_holdout,risk_normalized_recency_180d,5503,long,0.08029771548336946
55,baseline_71,development_holdout,risk_normalized_recency_180d,5503,short,0.0961499603502465
55,ai_program_augmented,policy_development,raw_uniform,5501,long,0.056941713823327265
55,ai_program_augmented,policy_development,raw_uniform,5501,short,0.05162953312128163
55,ai_program_augmented,policy_development,raw_uniform,5502,long,0.05092274301694871
55,ai_program_augmented,policy_development,raw_uniform,5502,short,0.05408716678530251
55,ai_program_augmented,policy_development,raw_uniform,5503,long,0.05640472050972021
55,ai_program_augmented,policy_development,raw_uniform,5503,short,0.03983493471782836
55,ai_program_augmented,policy_development,risk_normalized_uniform,5501,long,0.06211700994177457
55,ai_program_augmented,policy_development,risk_normalized_uniform,5501,short,0.05582330256420392
55,ai_program_augmented,policy_development,risk_normalized_uniform,5502,long,0.05755637219030486
55,ai_program_augmented,policy_development,risk_normalized_uniform,5502,short,0.05959847695524929
55,ai_program_augmented,policy_development,risk_normalized_uniform,5503,long,0.0664858339363168
55,ai_program_augmented,policy_development,risk_normalized_uniform,5503,short,0.052753835533834205
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5501,long,0.048862779757150414
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5501,short,0.04245705411117506
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5502,long,0.03985427772570259
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5502,short,0.04855987860812961
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5503,long,0.04211012854177535
55,ai_program_augmented,policy_development,risk_normalized_recency_180d,5503,short,0.04785286420724962
55,ai_program_augmented,development_holdout,raw_uniform,5501,long,0.05689451263728562
55,ai_program_augmented,development_holdout,raw_uniform,5501,short,0.0787457471353646
55,ai_program_augmented,development_holdout,raw_uniform,5502,long,0.08069743907845064
55,ai_program_augmented,development_holdout,raw_uniform,5502,short,0.09210855171428431
55,ai_program_augmented,development_holdout,raw_uniform,5503,long,0.08188862780341502
55,ai_program_augmented,development_holdout,raw_uniform,5503,short,0.08410048881898875
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5501,long,0.059478186754402945
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5501,short,0.09339360405656803
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5502,long,0.07099135003482032
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5502,short,0.09894939744362363
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5503,long,0.06735530485255586
55,ai_program_augmented,development_holdout,risk_normalized_uniform,5503,short,0.087570732788886
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5501,long,0.06669872225248039
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5501,short,0.09737017686022681
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5502,long,0.06862829489828849
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5502,short,0.10543364908460826
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5503,long,0.06812692095230886
55,ai_program_augmented,development_holdout,risk_normalized_recency_180d,5503,short,0.1006017551846981
