signal,horizon_seconds,actual_rows,delayed_net_positive_rate,event_outcomes_not_executable_trades,mean_delayed_net_return_bps,median_delayed_net_return_bps,requested_rows
l1_imbalance,5,100,0.0,True,-11.677366963853702,-11.91733648492892,100
l1_imbalance,5,500,0.002,True,-11.624519522294477,-11.866137764346382,500
l1_imbalance,5,1000,0.001,True,-11.627235913617252,-11.836335232689137,1000
microprice_offset_bps,5,100,0.09,True,-13.039455453065774,-12.032669367869211,100
microprice_offset_bps,5,500,0.028,True,-11.91075905397068,-11.768230400949562,500
microprice_offset_bps,5,1000,0.014,True,-11.783194797969077,-11.825311276244713,1000
normalized_ofi,5,100,0.02,True,-11.350676394158349,-11.555311147733107,100
normalized_ofi,5,500,0.01,True,-11.423610113815524,-11.634778613000503,500
normalized_ofi,5,1000,0.008,True,-11.602223949205003,-11.863749674987446,1000
ofi_10s_mean,5,100,0.02,True,-11.246217586993112,-11.537225377658752,100
ofi_10s_mean,5,500,0.006,True,-11.826717512303405,-11.897708865089552,500
ofi_10s_mean,5,1000,0.004,True,-12.026902594974324,-11.966773084512948,1000
ofi_60s_mean,5,100,0.01,True,-12.291958871024907,-12.032742808401196,100
ofi_60s_mean,5,500,0.004,True,-12.176356636136184,-12.032674295285457,500
ofi_60s_mean,5,1000,0.002,True,-12.077172676086898,-12.032544613573542,1000
ofi_300s_mean,5,100,0.0,True,-12.247067803058373,-12.032822168883225,100
ofi_300s_mean,5,500,0.0,True,-12.086303168315522,-11.967304328832178,500
ofi_300s_mean,5,1000,0.0,True,-12.099674311042751,-12.032523500196138,1000
trade_imbalance,5,100,0.0,True,-11.800047577130108,-12.033428910939005,100
trade_imbalance,5,500,0.0,True,-11.951244700853644,-12.033233406997091,500
trade_imbalance,5,1000,0.0,True,-11.979657954885468,-12.033160628639154,1000
trade_imbalance_10s_mean,5,100,0.0,True,-11.84075626570902,-11.803521317707498,100
trade_imbalance_10s_mean,5,500,0.0,True,-11.930623132833043,-12.032544152425148,500
