signal,horizon_seconds,regime,band,support_rows,metrics_reported,weighted_roc_auc,spearman_information_coefficient,mean_signal_aligned_gross_midquote_return_bps,mean_delayed_net_return_bps
l1_imbalance,5,relative_spread,less_than_0_8,517,True,0.5115276415338994,-0.009280649012001922,-0.36612676778947323,-12.413858910366123
l1_imbalance,5,relative_spread,0_8_to_less_than_1_25,27319,True,0.6114908863953187,0.15260996784008474,0.18115814741617345,-11.853276119926157
l1_imbalance,5,relative_spread,greater_than_or_equal_to_1_25,1006,True,0.5260687865460122,-0.0004433913710447185,0.028411132974567845,-12.06157677111634
l1_imbalance,5,relative_short_term_volatility,less_than_0_75,10647,True,0.6215298571868604,0.1596247438480084,0.15553673294566578,-11.878409947130374
l1_imbalance,5,relative_short_term_volatility,0_75_to_less_than_1_5,12848,True,0.5966133434474151,0.13245926989171147,0.16360237761760432,-11.871883534177163
l1_imbalance,5,relative_short_term_volatility,greater_than_or_equal_to_1_5,5347,True,0.6018450084876465,0.13322914488990117,0.19763351035798474,-11.846433791753428
l1_imbalance,5,relative_l1_depth,less_than_0_75,9199,True,0.5661086188701615,0.08488900551992808,0.12216468141210728,-11.917184399601453
l1_imbalance,5,relative_l1_depth,0_75_to_less_than_1_25,12837,True,0.612998870709151,0.15729180020267605,0.17050260954855462,-11.863858338179028
l1_imbalance,5,relative_l1_depth,greater_than_or_equal_to_1_25,6806,True,0.6412043549738651,0.18304662611884254,0.2201430064854949,-11.816539962314636
microprice_offset_bps,5,relative_spread,less_than_0_8,517,True,0.5063297026688767,-0.00997568163862569,-0.3575055212343572,-12.404040263065422
microprice_offset_bps,5,relative_spread,0_8_to_less_than_1_25,27319,True,0.6103780210649743,0.15185614651094398,0.17563315031617566,-11.858770911687174
microprice_offset_bps,5,relative_spread,greater_than_or_equal_to_1_25,1006,True,0.49788658027624716,-0.02926104704117775,-0.09192150630712224,-12.178712716787535
microprice_offset_bps,5,relative_short_term_volatility,less_than_0_75,10647,True,0.619758762297067,0.15669648068372474,0.15353438957889284,-11.880372461443871
microprice_offset_bps,5,relative_short_term_volatility,0_75_to_less_than_1_5,12848,True,0.5930466528207529,0.12785467867548936,0.15244463180502402,-11.882942550879646
microprice_offset_bps,5,relative_short_term_volatility,greater_than_or_equal_to_1_5,5347,True,0.5980051780830855,0.1287660543692375,0.17936872735018922,-11.864245663260064
microprice_offset_bps,5,relative_l1_depth,less_than_0_75,9199,True,0.5611587729802882,0.07740929570508383,0.10189015131791083,-11.937012534872794
microprice_offset_bps,5,relative_l1_depth,0_75_to_less_than_1_25,12837,True,0.6113285870587273,0.15605657145431184,0.1636654529628928,-11.870688145409108
microprice_offset_bps,5,relative_l1_depth,greater_than_or_equal_to_1_25,6806,True,0.6386454555512299,0.18047245581128254,0.22179409833670363,-11.814901725817206
normalized_ofi,5,relative_spread,less_than_0_8,517,True,0.513610763454318,0.025720234767796585,-0.33960584408742917,-12.38840875679513
normalized_ofi,5,relative_spread,0_8_to_less_than_1_25,27319,True,0.5744509470322049,0.11236043376529374,0.13259979545124193,-11.901794699481588
normalized_ofi,5,relative_spread,greater_than_or_equal_to_1_25,1006,True,0.46558332256729706,-0.05037921179728133,-0.22789582214948545,-12.309685355860433
normalized_ofi,5,relative_short_term_volatility,less_than_0_75,10647,True,0.5824594714620003,0.12573202944524076,0.14765868501376075,-11.886194613113547
normalized_ofi,5,relative_short_term_volatility,0_75_to_less_than_1_5,12848,True,0.5615784998489284,0.09096981511456222,0.09609034071924487,-11.939685549524896
