booked_time_ms,candidate_id,decision_index,decision_time_ms,execution_charge_bps,exit_time_ms,horizon_minutes,predicted_ensemble_mean_bps,realized_net_bps,realized_signed_target_bps,scenario,side,sleeve_weight,symbol,symbol_index,trade_id,worst_seed_expected_net_bps,worst_seed_profit_probability,decision_time_utc,exit_time_utc,booked_time_utc
1735697100000,single_logistic_tcn,313931,1735689600000,12.0,1735696860000,120,16.09570294432174,17.485355377197266,29.485355377197266,base,1,0.3333333333333333,ETHUSDT,1,2e82a5f180e5e208a2287bc4,2.3726553144853835,0.5175166130065918,2025-01-01T00:00:00+00:00,2025-01-01T02:01:00+00:00,2025-01-01T02:05:00+00:00
1735747500000,single_logistic_tcn,314099,1735740000000,12.0,1735747260000,120,-13.69946301824531,-39.70504379272461,27.70504379272461,base,-1,0.3333333333333333,BTCUSDT,0,740dba3b22f458d067d2576a,1.0026442757234122,0.5032835006713867,2025-01-01T14:00:00+00:00,2025-01-01T16:01:00+00:00,2025-01-01T16:05:00+00:00
1735747800000,single_logistic_tcn,314100,1735740300000,12.0,1735747560000,120,-14.007046526881359,16.451095581054688,-28.451095581054688,base,-1,0.3333333333333333,ETHUSDT,1,0e9c3c0a504924137d4d5dd4,0.2703306669629342,0.5007683634757996,2025-01-01T14:05:00+00:00,2025-01-01T16:06:00+00:00,2025-01-01T16:10:00+00:00
1735747800000,single_logistic_tcn,314100,1735740300000,12.0,1735747560000,120,-15.310738551590196,-10.058507919311523,-1.9414920806884766,base,-1,0.3333333333333333,SOLUSDT,2,c4125564202ac87b84bcabc0,0.8937527538885561,0.5021665692329407,2025-01-01T14:05:00+00:00,2025-01-01T16:06:00+00:00,2025-01-01T16:10:00+00:00
1735767900000,single_logistic_tcn,314167,1735760400000,12.0,1735767660000,120,-15.175477205382016,-102.37552642822266,90.37552642822266,base,-1,0.3333333333333333,SOLUSDT,2,d928c5b8e47451127c592a50,1.6733058537459655,0.5066230297088623,2025-01-01T19:40:00+00:00,2025-01-01T21:41:00+00:00,2025-01-01T21:45:00+00:00
1735768500000,single_logistic_tcn,314169,1735761000000,12.0,1735768260000,120,-14.235114575365296,-17.571383476257324,5.571383476257324,base,-1,0.3333333333333333,BTCUSDT,0,1895cf357913ac8ce364d5b8,0.2279630202516909,0.5016651153564453,2025-01-01T19:50:00+00:00,2025-01-01T21:51:00+00:00,2025-01-01T21:55:00+00:00
1735785000000,single_logistic_tcn,314224,1735777500000,12.0,1735784760000,120,-16.852242313554346,-13.052742004394531,1.0527420043945312,base,-1,0.3333333333333333,BTCUSDT,0,120a8281da2b5c2d59e4b981,2.746967559315518,0.5194684267044067,2025-01-02T00:25:00+00:00,2025-01-02T02:26:00+00:00,2025-01-02T02:30:00+00:00
1735785000000,single_logistic_tcn,314224,1735777500000,12.0,1735784760000,120,-18.974781183017058,-7.663461685180664,-4.336538314819336,base,-1,0.3333333333333333,ETHUSDT,1,692a220ccaaf0188c947afae,5.30767276639493,0.5214052796363831,2025-01-02T00:25:00+00:00,2025-01-02T02:26:00+00:00,2025-01-02T02:30:00+00:00
1735785000000,single_logistic_tcn,314224,1735777500000,12.0,1735784760000,120,-17.410107161147167,-167.41127014160156,155.41127014160156,base,-1,0.3333333333333333,SOLUSDT,2,e3d9ef3a02660864ce5f114e,1.274365596520374,0.5048748850822449,2025-01-02T00:25:00+00:00,2025-01-02T02:26:00+00:00,2025-01-02T02:30:00+00:00
1735793100000,single_logistic_tcn,314251,1735785600000,12.0,1735792860000,120,-13.853912084901085,-261.55975341796875,249.55975341796875,base,-1,0.3333333333333333,SOLUSDT,2,7f47e46a12d0a8381432c83c,0.5462568534499237,0.5027884840965271,2025-01-02T02:40:00+00:00,2025-01-02T04:41:00+00:00,2025-01-02T04:45:00+00:00
