round,treatment,scope,top_fraction,rows,raw_score_threshold_bps,realized_stress_mean_bps,realized_before_frozen_charge_mean_bps,positive_stress_payoff_fraction,post_hoc_consumed_diagnostic,promotion_authority
56,baseline_72,all_action_rows,0.5,13101,-16.09053236279336,-15.008043177878506,0.9919568221214945,0.33913441722005955,true,false
56,baseline_72,all_action_rows,0.3,7861,-15.418710590804166,-14.466883372687109,1.5331166273128911,0.3509731586312174,true,false
56,baseline_72,all_action_rows,0.2,5241,-15.032609475777951,-14.849489739843877,1.150510260156123,0.3587101698149208,true,false
56,baseline_72,all_action_rows,0.1,2621,-14.40719776037837,-15.72728294427217,0.27271705572782956,0.37314002289202597,true,false
56,baseline_72,all_action_rows,0.05,1311,-13.734865684845772,-16.91993436480437,-0.9199343648043694,0.39511823035850496,true,false
56,baseline_72,all_action_rows,0.02,525,-12.535130928193604,-16.65362740367651,-0.6536274036765093,0.3923809523809524,true,false
56,baseline_72,all_action_rows,0.01,263,-11.38275584596469,-16.6245966231585,-0.6245966231584994,0.41825095057034223,true,false
56,baseline_72,model_preferred_action,0.5,6551,-15.265774878921407,-14.727479529485318,1.2725204705146815,0.3527705693787208,true,false
56,baseline_72,model_preferred_action,0.3,3931,-14.783447074166515,-15.044162312415917,0.9558376875840828,0.36504706181633173,true,false
56,baseline_72,model_preferred_action,0.2,2621,-14.409827503784129,-15.627011492248597,0.372988507751403,0.3739030904235025,true,false
56,baseline_72,model_preferred_action,0.1,1311,-13.737008401451089,-16.755824793593334,-0.7558247935933338,0.39588100686498856,true,false
56,baseline_72,model_preferred_action,0.05,656,-12.852254930513066,-15.840626306366175,0.1593736936338246,0.4054878048780488,true,false
56,baseline_72,model_preferred_action,0.02,263,-11.382686879376031,-16.6245966231585,-0.6245966231584994,0.41825095057034223,true,false
56,baseline_72,model_preferred_action,0.01,132,-10.06278368311542,-17.378134362173803,-1.3781343621738031,0.4318181818181818,true,false
56,ai_program_augmented,all_action_rows,0.5,13101,-16.09150366607165,-14.351353261102357,1.648646738897643,0.345088161209068,true,false
56,ai_program_augmented,all_action_rows,0.3,7861,-15.421498992418098,-14.440492756229835,1.559507243770165,0.3538989950387991,true,false
56,ai_program_augmented,all_action_rows,0.2,5241,-15.023201373193274,-14.800411379659586,1.199588620340414,0.3627170387330662,true,false
56,ai_program_augmented,all_action_rows,0.1,2621,-14.391334644929966,-15.407623587023412,0.5923764129765878,0.37924456314383825,true,false
56,ai_program_augmented,all_action_rows,0.05,1311,-13.731076888568383,-14.815062580543515,1.1849374194564852,0.39511823035850496,true,false
56,ai_program_augmented,all_action_rows,0.02,525,-12.639632816898459,-12.822602369089921,3.177397630910079,0.4114285714285714,true,false
56,ai_program_augmented,all_action_rows,0.01,263,-11.561876143397448,-15.87864477867296,0.12135522132703969,0.40304182509505704,true,false
56,ai_program_augmented,model_preferred_action,0.5,6551,-15.25455723286721,-14.551673799369485,1.4483262006305146,0.35643413219355824,true,false
56,ai_program_augmented,model_preferred_action,0.3,3931,-14.769414821128223,-14.969545098553743,1.030454901446257,0.3716611549224116,true,false
56,ai_program_augmented,model_preferred_action,0.2,2621,-14.391380502881738,-15.406548932334,0.5934510676660008,0.37924456314383825,true,false
56,ai_program_augmented,model_preferred_action,0.1,1311,-13.730966857221853,-14.815062580543515,1.1849374194564852,0.39511823035850496,true,false
56,ai_program_augmented,model_preferred_action,0.05,656,-12.924383218070702,-11.83188857736702,4.168111422632981,0.4222560975609756,true,false
56,ai_program_augmented,model_preferred_action,0.02,263,-11.561754564553958,-15.87864477867296,0.12135522132703969,0.40304182509505704,true,false
56,ai_program_augmented,model_preferred_action,0.01,132,-10.051716256235895,-18.654592792193096,-2.654592792193096,0.3560606060606061,true,false
