signal,family,horizon_seconds,direction_rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy,daily_auc_minimum,daily_auc_median,daily_auc_standard_deviation,days_above_chance,routed_rows,delayed_l1_eligible_rows,mean_signal_aligned_gross_midquote_return_bps,mean_cross_spread_gross_return_bps,mean_spread_crossing_cost_bps,mean_fee_and_slippage_cost_bps,mean_historical_latency_drag_bps,mean_delayed_net_return_bps,delayed_net_positive_rate,nonoverlapping_rows,nonoverlapping_weighted_roc_auc,nonoverlapping_mean_delayed_net_return_bps,placebo_observed_rank_descending,placebo_exceedance_fraction,placebo_mean_auc,placebo_auc_standard_deviation,placebo_auc_95_low,placebo_auc_95_high,nonfinite_signal_rows
l1_imbalance,displayed_l1_depth_imbalance,5,23399,0.6072574903425851,0.6120562884269998,0.1423716214724565,0.5743247705210328,0.5579105002109371,0.6040312141768056,0.04631083793890248,5,28842,27835,0.16688271628514537,0.13038024234803175,0.03650247393711363,11.99999400295903,0.07361548474161266,-11.869613760610997,0.0024429674869768277,28842,0.6072574903425851,-11.869613760610997,1,0.004975124378109453,0.5001784234889829,0.003997713852788836,0.4927505873153155,0.5074709100656299,0
microprice_offset_bps,microprice,5,23399,0.6042407034730395,0.6089317913321902,0.13833362076118877,0.5733342138281714,0.5547080671504491,0.6014805613306726,0.04637588409118858,5,28842,27834,0.15780602508741162,0.12144459299057826,0.036361432096833346,11.999991902016404,0.0730750368219131,-11.878547309025825,0.002299346123446145,28842,0.6042407034730395,-11.878547309025825,1,0.004975124378109453,0.499995390497062,0.003444786002897818,0.4934894715069615,0.5061816628309245,0
normalized_ofi,order_flow_imbalance,5,23399,0.5674786716674416,0.5728216655967014,0.09828108557164457,0.5507759360760748,0.5229206447696668,0.5701380497906945,0.03551680164358138,5,28842,27895,0.11274128624194116,0.07653145491076031,0.03620983133118084,11.999992255896643,0.05112896833899009,-11.92346080098588,0.0023301666965405985,28842,0.5674786716674416,-11.92346080098588,1,0.004975124378109453,0.5002098501338148,0.004054983695168868,0.49329902708613427,0.5083847832718359,0
ofi_10s_mean,order_flow_imbalance,5,23399,0.559832604577203,0.5583829939989127,0.05863061354931678,0.5463778643597702,0.5209581687227817,0.5534272242200377,0.03766530804735151,5,28842,27923,0.06018228295614807,0.02396702877342651,0.036215254182721555,11.999989634522377,0.032045412814577325,-11.976022605748952,0.00189807685420621,28842,0.559832604577203,-11.976022605748952,1,0.004975124378109453,0.49974598285573285,0.0038014714880433183,0.4920295803963205,0.5066495006816383,0
ofi_60s_mean,order_flow_imbalance,5,23399,0.5425689191094656,0.5384640966131111,0.026490802226232915,0.5327610116885689,0.5190807504709223,0.5471181042283924,0.019486059755739416,5,28842,27947,0.0033628266965031305,-0.0329275999766762,0.03629042667317934,11.999992018085425,-7.160511628168376e-05,-12.032919618062103,0.0019322288617740723,28842,0.5425689191094656,-12.032919618062103,1,0.004975124378109453,0.5001975642565362,0.0036343411994454334,0.49254879568512155,0.5070541826692857,0
ofi_300s_mean,order_flow_imbalance,5,23399,0.5353959609878136,0.5331117857127352,0.029396786056516445,0.5262893746285412,0.5249495078041996,0.534186106602455,0.009664500100466144,5,28842,27992,0.014472637737789056,-0.02176158479433664,0.036234222532125694,11.99999069808737,-0.018957318916507447,-12.021752282881705,0.002000571591883395,28842,0.5353959609878136,-12.021752282881705,1,0.004975124378109453,0.5002462478011668,0.0037294726628153436,0.4930537477715001,0.5069175974013282,0
trade_imbalance,aggressor_trade_flow,5,23399,0.5344467756729477,0.5346354463709178,0.033329191137182884,0.5222106001827161,0.49617545840632343,0.5419431489466502,0.027371316615310174,4,28744,27907,0.012127091614412,-0.024105992418151936,0.03623308403256393,11.999986610863852,0.014730903782905194,-12.024092603282005,0.0019349983875013438,28842,0.5344467756729477,-12.024092603282005,1,0.004975124378109453,0.5007454999867371,0.003609288873185442,0.49432537134976245,0.508260878081333,0
trade_imbalance_10s_mean,aggressor_trade_flow,5,23399,0.535512256226188,0.5324116598268271,0.024302415766045228,0.5225384666182394,0.5044293517307527,0.5401373214131407,0.024914776870530068,5,28842,27970,0.012506301238286888,-0.023676475259780845,0.03618277649806773,11.999986933614375,-0.006583356758676748,-12.023663408874159,0.0020021451555237756,28842,0.535512256226188,-12.023663408874159,1,0.004975124378109453,0.5002590325448248,0.003782115919382527,0.493797450706,0.5072438309729034,0
trade_imbalance_60s_mean,aggressor_trade_flow,5,23399,0.5162622565752092,0.5133035393459573,0.0019047682425836934,0.5152743842039226,0.5048811332494022,0.5170436423980369,0.01024272406241152,5,28842,27991,0.008945964745448587,-0.027219627203740184,0.03616559194918877,11.999989686795745,-0.013262947380548104,-12.027209313999483,0.002250723446822193,28842,0.5162622565752092,-12.027209313999483,1,0.004975124378109453,0.5007575993645722,0.00405289975213557,0.4922687339450278,0.5082611931078099,0
trade_imbalance_300s_mean,aggressor_trade_flow,5,23399,0.5098911814923864,0.5093673882656768,0.007184403151897997,0.5079970943670342,0.4971795634072592,0.5076166194199995,0.01123952493910391,4,28842,27974,0.0007643346127360175,-0.03545746845818293,0.03622180307091894,11.999988222493984,-0.019249695882665757,-12.035445690952171,0.002144848788160435,28842,0.5098911814923864,-12.035445690952171,4,0.01990049751243781,0.5010169626330991,0.003795890678257357,0.49363711273487376,0.5082575201489902,0
signed_pressure_to_opposing_depth_10s,depth_normalized_aggressor_flow,5,23399,0.5446526360170267,0.5445803263906123,0.04328057593434702,0.5200686785973717,0.49949361703266276,0.5538472347095836,0.038671694528163006,4,28842,27991,0.01811322372947242,-0.018080232506487163,0.03619345623595959,11.999988491002794,-0.002265268717129605,-12.01806872350928,0.002250723446822193,28842,0.5446526360170267,-12.01806872350928,1,0.004975124378109453,0.5001209834124215,0.003776934538148912,0.4928871642591189,0.5073197278263382,0
signed_pressure_to_opposing_depth_60s,depth_normalized_aggressor_flow,5,23399,0.5292197007772003,0.5305672325429508,0.031892250979338,0.500693389685003,0.5074172095710782,0.5447089540657447,0.01924598907785203,5,28842,27974,0.012253176201638608,-0.02393866150228862,0.036191837703927233,11.99998837438887,-0.024819446060393154,-12.023927035891157,0.0026095660255951955,28842,0.5292197007772003,-12.023927035891157,1,0.004975124378109453,0.4996600668759397,0.0038826266843479383,0.49177698782369966,0.5072570039118288,0
signed_pressure_to_opposing_depth_300s,depth_normalized_aggressor_flow,5,23399,0.5101555943201697,0.5131161730157723,0.00778029467466649,0.4797728323317705,0.487464882730253,0.51835909623712,0.014519810105903126,4,28842,27975,-0.022166107281327847,-0.05826118078262444,0.03609507350129658,11.99998775406643,-0.03298446012947593,-12.058248934849056,0.0026094727435210007,28842,0.5101555943201697,-12.058248934849056,1,0.004975124378109453,0.499532284596371,0.003440248263555746,0.49321357181773007,0.5060989970528655,0
l1_imbalance,displayed_l1_depth_imbalance,15,27363,0.55154665837323,0.550935336890132,0.07764428962514296,0.5334058212921611,0.5247106596108417,0.5470574875079789,0.025440834437586216,5,28834,27855,0.17428685343183165,0.13771910279478197,0.036567750637049666,11.99999128263371,0.07361912189995823,-11.862272179838927,0.008687847783162807,17136,0.5608626249880592,-11.824128526734668,1,0.004975124378109453,0.5001347651552155,0.004226967487387399,0.49158767040813756,0.5073743853232816,0
microprice_offset_bps,microprice,15,27363,0.550465112809494,0.5500136305708841,0.07679296593628662,0.5342319724447973,0.5244382440901758,0.5451293275739443,0.024847186608392274,5,28834,27857,0.17149556653263223,0.13500393068723043,0.03649163584540181,11.999992388457219,0.0722708455764831,-11.864988457769988,0.008579531177082959,17136,0.5594760876682516,-11.812846445010637,1,0.004975124378109453,0.5004116376372679,0.0034930573204505645,0.49454228709049625,0.508026462108952,0
