round,symbol,role,source_rows,source_dataset_fingerprint,candidate_rows_before_stress_quote_gate,stress_quote_valid_rows,stress_quote_invalid_rows,trade_rows,trade_source_sha256
57,BTCUSDT,training,249333,b06a2b230ab31c164664eb96829500072312c6dd45c301b63c21d29cac98ecc8,128141,128133,8,51118605,264c837f0c0ebca23f523e6eeb2fad5280f3348301dd29855e157446c7b08a32
57,BTCUSDT,early_stop,249333,b06a2b230ab31c164664eb96829500072312c6dd45c301b63c21d29cac98ecc8,34033,34030,3,10366342,02ca6d4b9bbba64a47fa255861aa1ca7e1c7d671dcc56f190e923030f7630210
57,BTCUSDT,probability_calibration,249333,b06a2b230ab31c164664eb96829500072312c6dd45c301b63c21d29cac98ecc8,16833,16833,0,10955865,b9b9493d04197617d304d8a6aec832fdc1c68c66a17fcefb7de226ec1a0daae4
57,BTCUSDT,policy_calibration,249333,b06a2b230ab31c164664eb96829500072312c6dd45c301b63c21d29cac98ecc8,16833,16832,1,8934363,47893011d8321431cfd8b80aa722dc14e2da4d3bed1d5512b392a413f21ccd2b
57,BTCUSDT,evaluation,249333,b06a2b230ab31c164664eb96829500072312c6dd45c301b63c21d29cac98ecc8,51203,51192,11,22920797,cb9c933a4dc3341f038c98c7539be1827e7a3e06fe8702126d9dbfd156c38a34
57,ETHUSDT,training,249291,955da3450cdbdd2c4e0a6113f2e33694e6435e94f754b6a2b4a1e6c420cb6b3e,128111,128103,8,33233616,43c4e343c192f590903cbf90358ba730094f6b2d239c9401e1f3bcfe1be96313
57,ETHUSDT,early_stop,249291,955da3450cdbdd2c4e0a6113f2e33694e6435e94f754b6a2b4a1e6c420cb6b3e,34027,34024,3,7180109,890c99b1af213c7c5c66f8838f9bbe5611fa23b0a6d5ed1f6f69054c6d77d89b
57,ETHUSDT,probability_calibration,249291,955da3450cdbdd2c4e0a6113f2e33694e6435e94f754b6a2b4a1e6c420cb6b3e,16827,16826,1,6613046,8244ab4bc962a001f41b9f222ae4169b56e52d06481d6a4c2a4ab58f6a8d7ac3
57,ETHUSDT,policy_calibration,249291,955da3450cdbdd2c4e0a6113f2e33694e6435e94f754b6a2b4a1e6c420cb6b3e,16827,16826,1,5034731,c61214b290dbab31ccd95dbf5ad4bff76b228410193c7c345318d6691de4b8de
57,ETHUSDT,evaluation,249291,955da3450cdbdd2c4e0a6113f2e33694e6435e94f754b6a2b4a1e6c420cb6b3e,51203,51191,12,16243842,c049e81a1ae77916cede284d52cebcaf55daf724577b22ee808b54b23116faf1
57,SOLUSDT,training,137025,2af6270b467264a10e9ee7aa339595a5b17f0f81578a9921acb4176df552c55d,60730,60167,563,7682537,6f52d04f4f29aef00dbb3afaf0fa18d1823c1c80ab8f463900f6f3da866a48d3
57,SOLUSDT,early_stop,137025,2af6270b467264a10e9ee7aa339595a5b17f0f81578a9921acb4176df552c55d,11581,11433,148,1724286,0dfc514855e3b762702de1a7cf66748f9191faadc4d6b70e4a0a87984e2aa378
57,SOLUSDT,probability_calibration,137025,2af6270b467264a10e9ee7aa339595a5b17f0f81578a9921acb4176df552c55d,12023,11975,48,1806046,da64e51bfe0041c4a12771b6f380df0e609cb3b8348a07ea1d9a70161a84403d
57,SOLUSDT,policy_calibration,137025,2af6270b467264a10e9ee7aa339595a5b17f0f81578a9921acb4176df552c55d,11617,11572,45,1481421,5ad7972718afc1d964d50b5b0371f04c9114548d6ca125bee99e3239458e017a
57,SOLUSDT,evaluation,137025,2af6270b467264a10e9ee7aa339595a5b17f0f81578a9921acb4176df552c55d,39810,39676,134,9903804,e215e2f30bb7dae4e530225f44f74b8886fe7dbe7a54342aae6c3b6cd920fd76
