slot_ordinal,role,scheduled_start_utc,scheduled_end_utc,status,reason_code,failure_classification,evidence_kind,slot_directory_present,eligible_anchor_ns,cumulative_training_eligible_anchor_ns
0,training,2026-07-28T08:00:00+00:00,2026-07-28T08:20:00+00:00,transport_excluded,in_run_transport,transport_excluded,result,true,0,0
1,training,2026-07-28T08:25:00+00:00,2026-07-28T08:45:00+00:00,admitted,admitted,admitted,result,true,889639947400,889639947400
2,training,2026-07-28T08:50:00+00:00,2026-07-28T09:10:00+00:00,admitted,admitted,admitted,result,true,889611684700,1779251632100
3,training,2026-07-28T09:15:00+00:00,2026-07-28T09:35:00+00:00,transport_excluded,startup_transport,transport_excluded,result,true,0,1779251632100
4,training,2026-07-28T09:40:00+00:00,2026-07-28T10:00:00+00:00,admitted,admitted,admitted,result,true,889694341400,2668945973500
5,training,2026-07-28T10:05:00+00:00,2026-07-28T10:25:00+00:00,admitted,admitted,admitted,result,true,889660820400,3558606793900
6,training,2026-07-28T10:30:00+00:00,2026-07-28T10:50:00+00:00,admitted,admitted,admitted,result,true,889637633400,4448244427300
7,training,2026-07-28T10:55:00+00:00,2026-07-28T11:15:00+00:00,admitted,admitted,admitted,result,true,889717017300,5337961444600
8,training,2026-07-28T11:20:00+00:00,2026-07-28T11:40:00+00:00,admitted,admitted,admitted,result,true,889625683100,6227587127700
9,training,2026-07-28T11:45:00+00:00,2026-07-28T12:05:00+00:00,admitted,admitted,admitted,result,true,574859422200,6802446549900
10,training,2026-07-28T12:10:00+00:00,2026-07-28T12:30:00+00:00,admitted,admitted,admitted,result,true,889681454700,7692128004600
11,training,2026-07-28T12:35:00+00:00,2026-07-28T12:55:00+00:00,admitted,admitted,admitted,result,true,889634069300,8581762073900
12,training,2026-07-28T13:00:00+00:00,2026-07-28T13:20:00+00:00,admitted,admitted,admitted,result,true,889553291100,9471315365000
13,training,2026-07-28T13:25:00+00:00,2026-07-28T13:45:00+00:00,admitted,admitted,admitted,supplemental_adjudication,true,889580972600,10360896337600
14,training,2026-07-28T13:50:00+00:00,2026-07-28T14:10:00+00:00,missed,host_slot_missed,prior_audit_terminal_class_failed,recovery,true,0,10360896337600
15,training,2026-07-28T14:15:00+00:00,2026-07-28T14:35:00+00:00,transport_excluded,startup_transport,transport_excluded,result,true,0,10360896337600
16,training,2026-07-28T14:40:00+00:00,2026-07-28T15:00:00+00:00,admitted,admitted,admitted,result,true,889768494000,11250664831600
17,training,2026-07-28T15:05:00+00:00,2026-07-28T15:25:00+00:00,admitted,admitted,admitted,late_adjudication,true,889663503600,12140328335200
18,training,2026-07-28T15:30:00+00:00,2026-07-28T15:50:00+00:00,admitted,admitted,admitted,result,true,889576190000,13029904525200
19,training,2026-07-28T15:55:00+00:00,2026-07-28T16:15:00+00:00,admitted,admitted,admitted,result,true,889646549300,13919551074500
20,training,2026-07-28T16:20:00+00:00,2026-07-28T16:40:00+00:00,missed,host_slot_missed,captured_unsupported_terminal_class,recovery,true,0,13919551074500
21,training,2026-07-28T16:45:00+00:00,2026-07-28T17:05:00+00:00,admitted,admitted,admitted,result,true,889647629300,14809198703800
22,training,2026-07-28T17:10:00+00:00,2026-07-28T17:30:00+00:00,admitted,admitted,admitted,result,true,889559828400,15698758532200
23,training,2026-07-28T17:35:00+00:00,2026-07-28T17:55:00+00:00,admitted,admitted,admitted,result,true,889664936100,16588423468300
24,training,2026-07-28T18:00:00+00:00,2026-07-28T18:20:00+00:00,admitted,admitted,admitted,result,true,889655850300,17478079318600
25,training,2026-07-28T18:25:00+00:00,2026-07-28T18:45:00+00:00,admitted,admitted,admitted,result,true,889723651500,18367802970100
26,training,2026-07-28T18:50:00+00:00,2026-07-28T19:10:00+00:00,admitted,admitted,admitted,result,true,889639170600,19257442140700
27,training,2026-07-28T19:15:00+00:00,2026-07-28T19:35:00+00:00,admitted,admitted,admitted,result,true,889574465300,20147016606000
28,training,2026-07-28T19:40:00+00:00,2026-07-28T20:00:00+00:00,missed,host_slot_missed,captured_stored_report_missing,recovery,true,0,20147016606000
29,training,2026-07-28T20:05:00+00:00,2026-07-28T20:25:00+00:00,admitted,admitted,admitted,result,true,889725752100,21036742358100
30,training,2026-07-28T20:30:00+00:00,2026-07-28T20:50:00+00:00,admitted,admitted,admitted,result,true,889648667800,21926391025900
31,training,2026-07-28T20:55:00+00:00,2026-07-28T21:15:00+00:00,admitted,admitted,admitted,result,true,383555179100,22309946205000
32,training,2026-07-28T21:20:00+00:00,2026-07-28T21:40:00+00:00,admitted,admitted,admitted,result,true,889570715300,23199516920300
33,training,2026-07-28T21:45:00+00:00,2026-07-28T22:05:00+00:00,admitted,admitted,admitted,result,true,889680447600,24089197367900
34,training,2026-07-28T22:10:00+00:00,2026-07-28T22:30:00+00:00,admitted,admitted,admitted,result,true,889660111700,24978857479600
35,training,2026-07-28T22:35:00+00:00,2026-07-28T22:55:00+00:00,admitted,admitted,admitted,result,true,889615929000,25868473408600
36,training,2026-07-28T23:00:00+00:00,2026-07-28T23:20:00+00:00,admitted,admitted,admitted,result,true,889641280700,26758114689300
37,training,2026-07-28T23:25:00+00:00,2026-07-28T23:45:00+00:00,admitted,admitted,admitted,result,true,889606703200,27647721392500
38,training,2026-07-28T23:50:00+00:00,2026-07-29T00:10:00+00:00,admitted,admitted,admitted,result,true,889966493500,28537687886000
39,training,2026-07-29T00:15:00+00:00,2026-07-29T00:35:00+00:00,admitted,admitted,admitted,result,true,889578803900,29427266689900
40,training,2026-07-29T00:40:00+00:00,2026-07-29T01:00:00+00:00,admitted,admitted,admitted,result,true,889677937700,30316944627600
41,training,2026-07-29T01:05:00+00:00,2026-07-29T01:25:00+00:00,admitted,admitted,admitted,result,true,889857754800,31206802382400
42,training,2026-07-29T01:30:00+00:00,2026-07-29T01:50:00+00:00,missed,host_slot_missed,captured_stored_report_missing,recovery,true,0,31206802382400
