model,bin_lower,bin_upper,decision_rows,mean_probability,observed_up_rate
digital_moneyness_control,0.0,0.1,2450,0.040426527432462875,0.04
digital_moneyness_control,0.1,0.2,1767,0.15018014968200136,0.13921901528013583
digital_moneyness_control,0.2,0.30000000000000004,1863,0.25114671895517626,0.23510466988727857
digital_moneyness_control,0.30000000000000004,0.4,2176,0.3510242273173856,0.3561580882352941
digital_moneyness_control,0.4,0.5,2191,0.45024667108064126,0.4395253308991328
digital_moneyness_control,0.5,0.6000000000000001,2200,0.5489453251204,0.5704545454545454
digital_moneyness_control,0.6000000000000001,0.7000000000000001,1878,0.6479659454259599,0.6751863684771033
digital_moneyness_control,0.7000000000000001,0.8,1694,0.7502256488724085,0.7833530106257379
digital_moneyness_control,0.8,0.9,1567,0.8498536150483751,0.8915124441608169
digital_moneyness_control,0.9,1.0,2374,0.9613396439294922,0.9743049705139006
binance_lightgbm_challenger,0.0,0.1,3035,0.038849023322139915,0.045799011532125206
binance_lightgbm_challenger,0.1,0.2,1644,0.1527635019288531,0.16605839416058393
binance_lightgbm_challenger,0.2,0.30000000000000004,1926,0.24956356902666635,0.27050882658359293
binance_lightgbm_challenger,0.30000000000000004,0.4,1602,0.3486955829477848,0.3626716604244694
binance_lightgbm_challenger,0.4,0.5,2035,0.4507554870387838,0.4452088452088452
binance_lightgbm_challenger,0.5,0.6000000000000001,2404,0.5460280716540129,0.5607321131447587
binance_lightgbm_challenger,0.6000000000000001,0.7000000000000001,1626,0.646862288491488,0.6635916359163592
binance_lightgbm_challenger,0.7000000000000001,0.8,1524,0.7485917080299197,0.7585301837270341
binance_lightgbm_challenger,0.8,0.9,1687,0.8495722231361891,0.8678126852400712
binance_lightgbm_challenger,0.9,1.0,2677,0.9609151694027757,0.9760926410160627
