utc_day,decision_rows,conditions,control_log_loss,challenger_log_loss,challenger_improvement
2026-07-01,1344,96,0.410443219757306,0.3984684727210941,0.01197474703621193
2026-07-02,1344,96,0.4189809618222451,0.4186246818737154,0.0003562799485297141
2026-07-03,1344,96,0.43315223853394114,0.43409381974574196,-0.0009415812118008238
2026-07-04,1344,96,0.465201306432696,0.46545905886597927,-0.0002577524332832426
2026-07-05,1344,96,0.44593321537699115,0.43730962042886645,0.008623594948124702
2026-07-06,1344,96,0.471102678914211,0.46708353189466223,0.004019147019548752
2026-07-07,1344,96,0.47128873463246074,0.46328434591320766,0.008004388719253075
2026-07-08,1344,96,0.5287839753536584,0.5359548077607962,-0.007170832407137784
2026-07-09,1344,96,0.5211101734606916,0.5177665014398023,0.0033436720208892545
2026-07-10,1344,96,0.4433203487523351,0.4392533715680681,0.004066977184267018
2026-07-11,1344,96,0.5328140058613707,0.5029047773985287,0.029909228462842052
2026-07-12,1344,96,0.4538360741000641,0.4380209248821059,0.01581514921795818
2026-07-13,1344,96,0.4812178537470406,0.4726276268305051,0.008590226916535548
2026-07-14,1344,96,0.4872167038337736,0.48574362435857377,0.0014730794751998122
2026-07-15,1344,96,0.43926016922279537,0.4237920345756618,0.015468134647133591
