condition_id,segment_id,same_state_episode_count,venue_delay_survivor_count,minimum_sequential_survivor_count,best_same_state_cost,best_venue_delay_cost,best_minimum_sequential_cost
0x0be96f715bad60903eb0d2f4e1ab1e138e1abbaf36a832f7011a85ceee5a710f,86aa54e4c9ae5d00cb3f1474bfa9aea23592305452d6ad689345d6addca6a91f,0,0,0,,,
0x2aa3aa7586e38774ad8c455908ed44e5c63d16c143657e612d137286622cf0a3,0811f9d69ed0fd93f4e8ce632a684f3091998f7d0e9121585360fadbcd2efdc2,0,0,0,,,
0x2aa3aa7586e38774ad8c455908ed44e5c63d16c143657e612d137286622cf0a3,3e1d9aa37b7cfa9f912dac45afa3cb3dd204da118a7b19ca1a06ca660c20a79a,0,0,0,,,
0x2b23b94415f70ee763efebc94aad36db66a3f69241e8f4c5fd62cc03f71e12e0,b8c3ea5ec922b6c52259ff3500661c5c01c63a6a64dad3576a3287ec4df9c1ca,1,0,0,0.984630,1.043454,1.043454
0x44d2bc94331ec1646f456fb5acdb9920ee50c30a49b62a449d608b425ca671f0,880686443928d325c45f49506c8ace9e343ccd866609dc6a4f0a6264e47f9f3f,0,0,0,,,
0x6802fd826274ac7d53604900993eaa629ffefed9ecd381c06b703648ecbbcef1,cf4795a3471a7d397d175b40201f4022701b8fbb5493359a1fb6d41f8a14de7a,0,0,0,,,
0x740c8d0b3b0dba5e5fa124f394dccf59803bd6d47676061f8866ce3ea60312f7,7f65e71d27b6a8d8f254bb3df563accbea4bc6878b04aa6309986b02fd10c845,1,0,0,0.999710,1.014726,1.014726
0x8fd419e75208b421818a813424919a73a08f74ef19467dfb4e33217c9e56009e,b508c5a5a3ab8f0abc13ddb39a92868408f040677460abb3aaf580265a4bcd67,1,0,0,0.988306,1.030210,1.030210
0x94a73c96728f3a2ce967f9d65e56f8d616fb8052e254916b55815bc6674d45b8,a1182b1d36081a25d7e06e544db64b7448eee409bcd56b11abe865d5908ba3fe,0,0,0,,,
0xc17918d5cb7d4dbc2d03f1db605c1a856d607eae633a0601ce93e1b6e8cce288,c050ad619845cfb7af7686840cff23d050fa7105b09a62adc7f1ef4338cd57f1,0,0,0,,,
0xdcf03ea95640ce6e4a394f507c15f8b4834888121b4530e73145514d4b460be3,00a2c02b221e29990a63041f5de44cfa56dc14817957eb7bc77701c3aad05a15,0,0,0,,,
0xdcf03ea95640ce6e4a394f507c15f8b4834888121b4530e73145514d4b460be3,d3f680c746d428e049c1c375d20a4564094cd4d079b74ba0b48b99b6a098487a,0,0,0,,,
0xea336edb13bf55112774482d390cd7012b4e8b4cb6564a145ee41a40e05a2538,53db9c1e3cb6a858055f8e3e468385de58b2ce384ec919f24deb924e7bcc66e7,1,0,0,0.993410,1.012066,1.002744
