ordinal,event_start_utc,event_end_utc,condition_id,winner,selected_outcome,selected_outcome_won,counterfactual_net_pnl_quote,cumulative_counterfactual_net_pnl_quote,observed_prediction_rows,directional_accuracy,mean_log_loss,mean_brier_score
1,2026-07-29T18:40:00Z,2026-07-29T18:45:00Z,0xc85505ba14b2776755ab3c5baca2a41f544cf0a0788f8d34eb6896275eca7924,Up,Up,True,1.62146,1.62146,8,0.75,0.4566576573734766,0.14355052419279993
2,2026-07-29T18:45:00Z,2026-07-29T18:50:00Z,0xbb92cc0262410c0302c6cfab4654539c1e964474c3c8e5745968def8320a5766,Up,Down,False,-3.32963,-1.70817,8,0.5,0.7067443617763499,0.25609996486561426
3,2026-07-29T18:50:00Z,2026-07-29T18:55:00Z,0x4af2ff3d6a4eff9dfd49bdefffb39f39cb3ccecbb4407451ed2e2259ff90d0a1,Up,Up,True,3.52944,1.82127,8,0.75,0.5214419982470668,0.17186233003875448
4,2026-07-29T18:55:00Z,2026-07-29T19:00:00Z,0x8e3887cec295808cf88f840a6c2e282f15649f4527088d1916233b68ca022a70,Down,Up,False,-1.10807,0.71320,8,0.75,0.5967705330305454,0.20401750095520746
5,2026-07-29T19:00:00Z,2026-07-29T19:05:00Z,0xd89556a0a87ed2d1caf71cfd093b8c5e2399bc08bd6b6cedebdfdb2c08e62fb3,Down,Up,False,-2.28624,-1.57304,8,0.5,0.8054466285916104,0.2979072160773394
6,2026-07-29T19:05:00Z,2026-07-29T19:10:00Z,0xb7fb1f63d2dd6d0d9ed48f9d5992ea1a92d6870f47985d08a5929c136b85660e,Down,Up,False,-1.52207,-3.09511,8,0.875,0.4379640883361503,0.12980018554761147
7,2026-07-29T19:10:00Z,2026-07-29T19:15:00Z,0x4dbd19d7195ca383eb66419a9ff07a6e0a8f5d34ad78255a3b16541461aab678,Up,Down,False,-2.58750,-5.68261,7,0.5714285714285714,0.6342686374851423,0.22626858162531108
8,2026-07-29T19:15:00Z,2026-07-29T19:20:00Z,0x007977d5b6fed9d56905bb71223d9fc6e057ee4476eb47bb544b319269ce8b48,Down,Down,True,3.11936,-2.56325,8,0.5,0.7501614033538155,0.2699173538424998
9,2026-07-29T19:20:00Z,2026-07-29T19:25:00Z,0x6b4438273122702b65d8a35236c677a354e9ef1045826c6b054bb2f370749729,Down,Up,False,-1.16006,-3.72331,8,0.625,0.48720959321286944,0.15429649507921694
10,2026-07-29T19:25:00Z,2026-07-29T19:30:00Z,0x326356266b587737a26ccc42aac15993be2dd14942ef5b75a2c6881658804061,Down,Up,False,-0.68959,-4.41290,7,1.0,0.4374909519100539,0.12988394139580803
11,2026-07-29T19:30:00Z,2026-07-29T19:35:00Z,0x205ba88c382333798f21bdfc864384288643c2dd48a3f02367c57266b85327a6,Down,Up,False,-3.32963,-7.74253,8,0.625,0.765718086120791,0.2751695324979598
12,2026-07-29T19:35:00Z,2026-07-29T19:40:00Z,0x4d6fea3621deec3543650ec443d1568544af0e1f4ee750af642f206f22ecd63e,Down,Up,False,-2.13467,-9.87720,5,0.0,1.1324334160602745,0.44894445300874786
