capture_start_utc,capture_end_utc,asset,per_leg_submission_latency_ms,holding_period_ms,source_market_count,complete_market_count,positive_market_count,positive_market_fraction,median_market_outcome_best_net_bps,maximum_market_outcome_best_net_bps,confirmation_eligible,noncausal_oracle_upper_bound
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,100,250,4,3,3,1,1578.594924040051194488517966,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,100,500,4,3,3,1,2602.091890214278127180174804,14490.87151533747867914481937,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,100,1000,4,3,3,1,2535.958743989883576199830142,19046.19296807683416346174054,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,100,2000,4,3,3,1,3913.182718182932838848520616,27087.19500662001134859088330,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,100,5000,4,3,3,1,4290.883811016394008155376530,30896.22344114494672467057563,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,250,250,4,3,3,1,2602.091890214278127180174804,13322.74271641722976824791165,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,250,500,4,3,3,1,2602.091890214278127180174804,17232.39506529370888120786593,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,250,1000,4,3,3,1,2535.958743989883576199830142,19046.19296807683416346174054,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,250,2000,4,3,3,1,3192.390337838280714797508170,27629.09022129752222432381313,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,250,5000,4,3,3,1,4290.883811016394008155376530,30896.22344114494672467057563,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,500,250,4,3,3,1,2602.091890214278127180174804,14301.11594477019103461320219,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,500,500,4,3,3,1,2535.958743989883576199830142,19046.19296807683416346174054,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,500,1000,4,3,3,1,3264.055375006673799214848586,19577.15991005190929533656978,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,500,2000,4,3,3,1,3913.182718182932838848520616,27087.19500662001134859088330,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,500,5000,4,3,3,1,4290.883811016394008155376530,30896.22344114494672467057563,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,1000,250,4,3,3,1,2535.958743989883576199830142,19046.19296807683416346174054,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,1000,500,4,3,3,1,3300.548882047053196695732251,19577.15991005190929533656978,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,1000,1000,4,3,3,1,3913.182718182932838848520616,27629.09022129752222432381313,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,1000,2000,4,3,3,1,3913.182718182932838848520616,28715.19240064728999852888637,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,BTC,1000,5000,4,3,3,1,4414.600779249830787333744380,29088.05031446540880503144654,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,100,250,4,3,3,1,895.984986605483391346676818,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,100,500,4,3,3,1,1093.383298653645003048456474,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,100,1000,4,3,3,1,1440.308611775542451465646552,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,100,2000,4,3,3,1,1584.563630136392442937661196,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,100,5000,4,3,3,1,3409.127754974954619655652794,16379.31034482758620689655172,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,250,250,4,3,3,1,1093.383298653645003048456474,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,250,500,4,3,3,1,1316.295188472919078862729962,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,250,1000,4,3,3,1,1511.467051429382752971355999,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,250,2000,4,3,3,1,1643.576333375954132927115740,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,250,5000,4,3,3,1,3409.127754974954619655652794,16379.31034482758620689655172,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,500,250,4,3,3,1,1511.467051429382752971355999,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,500,500,4,3,3,1,1511.467051429382752971355999,4736.039442622265861658344998,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,500,1000,4,3,3,1,1643.576333375954132927115740,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,500,2000,4,3,3,1,1715.998273253045272728038237,7685.080796692972566704246524,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,500,5000,4,3,3,1,3409.127754974954619655652794,16379.31034482758620689655172,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,1000,250,4,3,3,1,1643.576333375954132927115740,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,1000,500,4,3,3,1,1643.576333375954132927115740,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,1000,1000,4,3,3,1,1584.563630136392442937661196,6567.314919203307027433295753,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,1000,2000,4,3,3,1,2713.110261835811599969270634,7685.080796692972566704246524,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,ETH,1000,5000,4,3,3,1,3548.639084189500439992593875,16379.31034482758620689655172,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,100,250,4,3,3,1,246.7441394435026327136420522,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,100,500,4,3,3,1,428.4874114492684534353403815,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,100,1000,4,3,3,1,939.5854211216096773249948835,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,100,2000,4,3,3,1,1565.564840170030296131859012,7571.166035329857855455125080,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,100,5000,4,3,3,1,2426.557575463978415638027904,9090.823794332895477575530118,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,250,250,4,3,3,1,575.134898860104566322006314,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,250,500,4,3,3,1,563.6635866331458495554560275,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,250,1000,4,3,3,1,746.969164633015029260883337,2272.062408581179912237932716,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,250,2000,4,3,3,1,1565.564840170030296131859012,4035.929940366800435059820725,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,250,5000,4,3,3,1,2426.557575463978415638027904,11116.90357424145820050256910,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,500,250,4,3,3,1,563.6635866331458495554560275,4568.325113927211436419252138,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,500,500,4,3,3,1,674.206238313019078261213956,3130.622188905547226386806597,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,500,1000,4,3,3,1,1467.535854662783919320264810,3177.269031087758804028272972,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,500,2000,4,3,3,1,1871.696881049206674377491086,7571.166035329857855455125080,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,500,5000,4,3,3,1,2426.557575463978415638027904,11116.90357424145820050256910,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,1000,250,4,3,3,1,1264.542822295528943214907343,1710.544956554590102002266717,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,1000,500,4,3,3,1,1565.564840170030296131859012,7571.166035329857855455125080,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,1000,1000,4,3,3,1,1565.564840170030296131859012,7571.166035329857855455125080,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,1000,2000,4,3,3,1,1994.682943566095740008783487,5802.047781569965870307167235,true,true
2026-07-15T00:46:38.779Z,2026-07-15T00:55:51.787Z,SOL,1000,5000,4,3,3,1,2426.557575463978415638027904,14673.14255710160147020215280,true,true
