terminal_reason,decision_count,decision_fraction
complete_round_trip,171400,0.7758464602571066449393445591
entry_enters_excluded_close_window,650,0.002942241535397428933550606554
entry_not_filled,23155,0.1048116965417345645482527612
entry_tick_drift,0,0
exit_enters_excluded_close_window,2243,0.01015299655984066630454463154
exit_not_filled,21898,0.09912185406481984428752489589
exit_tick_drift,0,0
missing_entry_execution_book,450,0.002036936447582835415535035307
missing_entry_execution_parameters,0,0
missing_exit_decision_book,592,0.002679703059931196813326090893
missing_exit_execution_book,532,0.002408111533586818757921419518
missing_exit_execution_parameters,0,0
unsupported_entry_minimum_order_age,0,0
unsupported_exit_minimum_order_age,0,0
