minimum_remaining_seconds,margin_quote,attempts,filled_conditions,wins,losses,unknown_entries,total_utility_quote,mean_condition_utility_quote,median_condition_utility_quote,maximum_drawdown_quote,bootstrap_lower_mean_group_utility_quote,bootstrap_upper_mean_group_utility_quote,market_prior_total_utility_quote,market_prior_bootstrap_lower_mean_group_utility_quote,gate_passed,gate_reasons,candidate_sha256
120.0,0.0,44,42,31,11,0,17.18674,0.40920809523809526,1.32944,16.35745,-1.8144319642857145,3.898206982142852,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,67898e451d76309256ea1b36d00cbe506516ad7f9a1ecfdec6775bcf6edb5cc4
120.0,0.0025,45,42,31,11,0,16.991220000000002,0.4045528571428572,1.32944,16.45633,-1.8423673928571431,3.886649714285708,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,98d80cb89f9c2fae2dc212fdd7e61e89d58878898ecdc3f53ae29185d067215a
120.0,0.005,45,42,31,11,0,16.749090000000002,0.3987878571428572,1.305225,16.45633,-1.8579209464285715,3.8862173392857104,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,db2364b74b849ab6fc49ece267e5ee16a136ab46602a5766dae978368c1e1092
120.0,0.01,44,42,31,11,0,16.89486,0.40225857142857147,1.32944,16.45633,-1.852719839285714,3.8953410892857105,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,76c2c6a60825838b3af60a8f6c0afcca1a44ce75d44ff066f0d18c8e1f66ce1f
120.0,0.02,45,42,32,10,0,22.441050000000004,0.5343107142857144,1.353685,12.363990000000001,-1.381515892857143,4.011524964285713,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,81bb4f4fe80b938a241d93db51b280e180ec571ae58e81bb37edb833ec903f46
120.0,0.05,46,42,32,10,0,21.44753,0.5106554761904762,1.353685,12.363290000000001,-1.4319136607142855,3.8806362142857136,6.95016,0.0,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,32e818688f2f76b87a415bd205ab7f9f170203b4d7cfe6147b8f4351ad837fd4
90.0,0.0,44,42,31,11,0,17.18674,0.40920809523809526,1.32944,16.35745,-1.8144319642857145,3.898206982142852,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,196a7d58bba42f2c12dc6f1c9bc8648379e17cc331d912c124a535dee33b6083
90.0,0.0025,45,42,31,11,0,16.991220000000002,0.4045528571428572,1.32944,16.45633,-1.8423673928571431,3.886649714285708,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,28b82114e2123ead9c500607e4dae904d25558fae675afa2b02c7097ec56f3f9
90.0,0.005,45,42,31,11,0,16.749090000000002,0.3987878571428572,1.305225,16.45633,-1.8579209464285715,3.8862173392857104,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,b523e615274282d6c16789c61ad1ef80767220e4c808d11a16acc362baa0ffca
90.0,0.01,44,42,31,11,0,16.89486,0.40225857142857147,1.32944,16.45633,-1.852719839285714,3.8953410892857105,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,8de03a2908b7a0ec093089079274fb341bb08c92697f73c5a6ea0b65d17e77ed
