asset,condition_id,event_start_ms,outcome,state,utility_quote,decision_monotonic_ns,remaining_seconds,p_win,p_observable,p_fill,upper_entry_cost_quote,exact_entry_cost_quote,score_quote,won,terminal_reason
BTC,0x2061227ed2474738043ef7ca1a1de0f97a757b22b866e65129b4ccd15a297a53,1784248200000,Down,filled,1.86673,659758326000001,286.142,0.7087095556982265,0.9994097491274715,0.9003093489229308,3.4554457291709926,3.13327,0.07629889172463497,True,complete_round_trip
ETH,0xe985e0f5c9ba07a6a786e92cbc0019bc3d4aa54778f15848fe8b56be55722c0b,1784248200000,Down,filled,2.11376,659755198000000,289.267,0.6361693925014297,0.9994097295385507,0.8902287989535356,3.1521048896017447,2.88624,0.022598430329743978,True,complete_round_trip
SOL,0xfbc19fa439e6693cbfb7b42ab6e3b848e2987f4d5ad6bfeaaafdf340aa92f7af,1784248200000,Down,filled,1.86673,659761406000000,283.063,0.7538946915433752,0.9994097332068477,0.8873231679396506,3.640652390921094,3.13327,0.1112649771289768,True,complete_round_trip
BTC,0xcb0be71e1a555c36afab8c0c8d26108b104020281fc4e3a9cd3d9e324a654465,1784248800000,Up,filled,1.32944,660357435000000,287.036,0.7959096219389555,0.9994097258947994,0.9024421238162394,3.943722761534985,3.67056,0.029337713733991893,True,complete_round_trip
ETH,0xea4d5295e84b143fea98d600670e577aa5ba017596381d7fa6e2ca657d9b7492,1784248800000,Up,filled,1.37793,660359994000000,284.473,0.8129927541843346,0.999409690925836,0.8890325538475342,4.019914832250501,3.62207,0.03705264917137229,True,complete_round_trip
SOL,0x005f3461c1e1c978256bee07e408c9b6428c4483b7831775c3bd16ae3bd96f43,1784248800000,Up,filled,1.0880100000000001,660369691000000,274.781,0.8580963930403306,0.9994097299972419,0.8819182848115472,4.258751384922316,3.91199,0.024993775811863423,True,complete_round_trip
BTC,0x43241333912cdf1be737519523a7444ba101cb168526224a841dcb0ef7bb300f,1784249100000,Up,filled,1.2810100000000002,660674042000000,270.43,0.8198082433078082,0.9994097899212798,0.9024273899169197,4.038019025734577,3.71899,0.05206241135763487,True,exit_not_filled
ETH,0x47e6fbb11cc03456a9444801ec8721a7910486e7cd3df5f6d42f90ecdfcedb4a,1784249100000,Up,filled,1.0880100000000001,660674195000002,270.277,0.87962874295215,0.9994097277069409,0.8948358716361859,4.168013625925676,3.91199,0.202833607974624,True,complete_round_trip
SOL,0xc5a98829d290242fe45baaee3c63604a0d937c273907cfac1153709c3e843eb6,1784249100000,Up,filled,1.23266,660674177000000,270.291,0.8222432794128534,0.9994097287285124,0.8890136988087629,3.9886801006809485,3.76734,0.10589865250139918,True,complete_round_trip
BTC,0x8d711ae1487b5fab597d37d60dcd3e20ed3e9a52c6e9863b0397a532a6318184,1784251200000,Down,filled,-3.23159,662751108000002,293.378,0.7278690785743066,0.9994096908338028,0.8944854647141637,3.4450935673348253,3.23159,0.17067918258643386,False,complete_round_trip
