condition_index,condition_id,event_start_ms,event_start_utc,winning_outcome,control_mean_probability_up,challenger_mean_probability_up,control_mean_log_loss,challenger_mean_log_loss,paired_mean_log_loss_advantage,cumulative_log_loss_advantage
1,0x4b5b60a4a8977ec48fba30aad8c6aa7245aa43fa2c85714a9cd422c881e74e7b,1782086700000,2026-06-22T00:05:00Z,Up,0.48426680251265874,0.6341299334660722,0.7251192814638316,0.5035453546942937,0.22157392676953785,0.22157392676953785
2,0x5ac5f35241be8707aa31b3a0af2f0eede57d0da72263fc6e70fe80877ce8a735,1782087000000,2026-06-22T00:10:00Z,Down,0.484407916203186,0.41058936259070866,0.6624393634305533,0.5590141087655205,0.10342525466503288,0.32499918143457074
3,0x2e4fbeb7e6d54bb4388a79fb14f770634c65f730de48ab075093d8f456793c05,1782087300000,2026-06-22T00:15:00Z,Up,0.48455229375641906,0.6641945304248398,0.7245299224113452,0.4219963630697306,0.3025335593416145,0.6275327407761853
4,0x071480072f35e0fdf633600500e6723c8745ec6c721339877bb1c9dfba6af02a,1782087600000,2026-06-22T00:20:00Z,Up,0.4846998666586618,0.43477808610954516,0.724225413719839,0.8887173872505668,-0.16449197353072786,0.4630407672454574
5,0x2a059b6e05a67f89077bb2f61f44aed9d4bd064acc941af9f5775fe642838b9b,1782087900000,2026-06-22T00:25:00Z,Up,0.484850564853041,0.5632580167387833,0.7239145518172341,0.6023988697303321,0.121515682086902,0.5845564493323594
6,0x22a7a26bf8bc6dc79a507a2d3da1232f2bd985c1cc2148e538d5ffec6970c457,1782088200000,2026-06-22T00:30:00Z,Up,0.4850043166539358,0.5503708903871838,0.7235974904595457,0.6349004481697906,0.08869704228975508,0.6732534916221145
7,0xbbb176d7db793ff6d68d355c46374159f3dde87fde3f5cd4ea5502b4178ec160,1782088500000,2026-06-22T00:35:00Z,Up,0.4851610490000253,0.6554597665482867,0.7232743861643353,0.46749380950098857,0.2557805766633467,0.9290340682854612
8,0x7086e1c3c9c63e8fb188ac561c06fad30d1946261f916336238924e615c1f07a,1782088800000,2026-06-22T00:40:00Z,Down,0.48532068761292974,0.448147108367789,0.6642112692405234,0.6249283840210951,0.03928288521942834,0.9683169535048896
9,0x62f4bf3277e67df62ae629f2de66fca84cdaf7911d9cb829d18005e46121a5cc,1782089100000,2026-06-22T00:45:00Z,Down,0.48548315640711903,0.4399020409268297,0.6645269891190806,0.6778183924366695,-0.013291403317588844,0.9550255501873007
10,0xae68df6c8a86f33bb3aef2086743c290760ed7080ae4d84123d1c3b4896b9057,1782089400000,2026-06-22T00:50:00Z,Down,0.48564837839878783,0.5221378783150685,0.6648481614464713,0.798475383157852,-0.13362722171138075,0.82139832847592
