decision_offset_seconds,candidate_id,kind,conditions,log_loss,brier_score,accuracy,balanced_accuracy
30,calendar_ridge_logistic-l2-10,control,287,0.6913188727799269,0.24908607677862543,0.5331010452961672,0.5031036168132943
30,lgbm-depth2-leaves3,challenger,287,0.66446778661706,0.23529086669672988,0.6202090592334495,0.6107282502443793
60,calendar_ridge_logistic-l2-10,control,287,0.6913184666551616,0.249085874344461,0.5331010452961672,0.5031036168132943
60,lgbm-depth2-leaves3,challenger,287,0.6190290964205047,0.2149162131408664,0.6480836236933798,0.6399071358748778
90,calendar_ridge_logistic-l2-10,control,287,0.6913180636761811,0.2490856734833729,0.5365853658536586,0.506891495601173
90,lgbm-depth2-leaves3,challenger,287,0.6063326363267193,0.20904643495263447,0.6585365853658537,0.6546432062561095
120,calendar_ridge_logistic-l2-10,control,287,0.691317663960302,0.24908547425395486,0.5365853658536586,0.506891495601173
120,lgbm-depth2-leaves3,challenger,287,0.6325512214117209,0.22046150188566463,0.6585365853658537,0.6529569892473118
150,calendar_ridge_logistic-l2-10,control,287,0.6913172674283967,0.2490852766166664,0.5365853658536586,0.506891495601173
150,lgbm-depth2-leaves3,challenger,287,0.6377266564722662,0.2232670673899103,0.6411149825783972,0.6368279569892473
180,calendar_ridge_logistic-l2-10,control,287,0.691316874064806,0.24908508056366593,0.5365853658536586,0.506891495601173
180,lgbm-depth2-leaves3,challenger,287,0.6512997889073422,0.22943754655262297,0.6411149825783972,0.6402003910068426
210,calendar_ridge_logistic-l2-10,control,287,0.6913164839368714,0.2490848861286077,0.5365853658536586,0.506891495601173
210,lgbm-depth2-leaves3,challenger,287,0.6884251217187057,0.24749615982834255,0.5435540069686411,0.5414467253176931
240,calendar_ridge_logistic-l2-10,control,287,0.6913160969891465,0.24908469328376245,0.5365853658536586,0.506891495601173
240,lgbm-depth2-leaves3,challenger,287,0.6575021895671298,0.23315144719086967,0.5888501742160279,0.5895650048875856
