asset,slug,event_start_ms,end_ms,feature_rows,first_decision_ms,last_decision_ms,official_outcome
BTC,btc-updown-5m-1784076300,1784076300000,1784076600000,0,,,Up
ETH,eth-updown-5m-1784076300,1784076300000,1784076600000,0,,,Up
SOL,sol-updown-5m-1784076300,1784076300000,1784076600000,0,,,Up
BTC,btc-updown-5m-1784076600,1784076600000,1784076900000,1110,1784076605020,1784076896191,Up
ETH,eth-updown-5m-1784076600,1784076600000,1784076900000,998,1784076605020,1784076884777,Up
SOL,sol-updown-5m-1784076600,1784076600000,1784076900000,874,1784076605159,1784076859108,Up
BTC,btc-updown-5m-1784076900,1784076900000,1784077200000,168,1784076905102,1784076948690,Down
ETH,eth-updown-5m-1784076900,1784076900000,1784077200000,160,1784076905326,1784076948653,Down
SOL,sol-updown-5m-1784076900,1784076900000,1784077200000,148,1784076905226,1784076948561,Up
BTC,btc-updown-5m-1784077200,1784077200000,1784077500000,0,,,Down
ETH,eth-updown-5m-1784077200,1784077200000,1784077500000,0,,,Down
SOL,sol-updown-5m-1784077200,1784077200000,1784077500000,0,,,Up
