period,signal_index,side,decision_time_utc,entry_time_utc,exit_time_utc,entry_bid,entry_ask,exit_bid,exit_ask,entry_quote_age_ms,exit_quote_age_ms,maximum_l1_participation,trade_reference_gross_bps,quote_path_gross_bps,spread_cost_bps,fee_cost_bps,slippage_cost_bps,net_return_bps,status,rejection_reason
2023-07-08,275,short,2023-07-08T20:48:50+00:00,2023-07-08T20:48:51+00:00,2023-07-08T20:49:11+00:00,30122.2,30122.3,30115.5,30115.6,7,76,0.05865389819790121,2.224273127461318,2.1910750210818453,0.033194414302828434,9.99890446248946,1.999780892497892,-9.807610333905506,executable,
2024-02-05,614,long,2024-02-05T21:17:05+00:00,2024-02-05T21:17:06+00:00,2024-02-05T21:17:26+00:00,42414.4,42414.5,42424.3,42424.4,99,76,0.003047678751936053,2.357689841185895,2.310530596847382,0.023579594374822932,10.001155265298426,2.000231053059685,-9.69085572151073,executable,
2024-02-05,721,long,2024-02-05T21:26:00+00:00,2024-02-05T21:26:01+00:00,2024-02-05T21:26:21+00:00,42387.0,42387.1,42386.6,42386.7,40,164,0.019578492481726734,-0.07077641729802409,-0.1179604172019122,0.02359197212031816,9.999941019791398,1.9999882039582797,-12.11788964095159,executable,
2024-02-05,1113,long,2024-02-05T21:58:40+00:00,2024-02-05T21:58:41+00:00,2024-02-05T21:59:01+00:00,42384.2,42384.3,42389.0,42389.1,29,17,0.003831380640688175,1.108901173310084,1.108901173310084,0.023594977973662168,10.000554450586655,2.0001108901173312,-10.891764167393902,executable,
2024-02-05,1385,short,2024-02-05T22:21:20+00:00,2024-02-05T22:21:21+00:00,2024-02-05T22:21:41+00:00,42435.6,42435.7,42442.9,42443.0,177,11,0.00993470482807739,-1.7202496954227264,-1.7438188690621637,0.02356714674744964,10.000871909434533,2.0001743818869064,-13.744865160383604,executable,
2024-02-05,1895,short,2024-02-05T23:03:50+00:00,2024-02-05T23:03:51+00:00,2024-02-05T23:04:11+00:00,42471.5,42471.6,42482.9,42483.0,13,18,0.021116772107109126,-2.660601437196597,-2.7076981034346304,0.02354836084350609,10.001353849051718,2.0002707698103435,-14.709322722296692,executable,
2024-02-05,2014,short,2024-02-05T23:13:45+00:00,2024-02-05T23:13:46+00:00,2024-02-05T23:14:06+00:00,42477.2,42477.3,42477.0,42477.1,84,93,0.01040762218279926,0.04708397191022229,0.023542041377444534,0.02354198595400092,9.99998822897931,1.9999976457958621,-11.976443833397727,executable,
2024-02-05,2488,short,2024-02-05T23:53:15+00:00,2024-02-05T23:53:16+00:00,2024-02-05T23:53:36+00:00,42690.0,42690.1,42698.5,42698.6,19,70,0.011191920507817725,-2.0145233075652413,-2.0145233075652413,0.023427021662580927,10.001007261653783,2.0002014523307565,-14.01573202154978,executable,
2024-02-05,2507,short,2024-02-05T23:54:50+00:00,2024-02-05T23:54:51+00:00,2024-02-05T23:55:11+00:00,42699.9,42700.0,42690.4,42690.5,21,84,0.0023452091521241193,2.1545717905668837,2.2014103077527825,0.0234166534029967,9.998899294846124,1.9997798589692248,-9.797268846062567,executable,
2024-02-05,2514,short,2024-02-05T23:55:25+00:00,2024-02-05T23:55:26+00:00,2024-02-05T23:55:46+00:00,42696.5,42696.6,42695.5,42695.6,43,223,0.04101772944184735,0.23421123511280229,0.2107901116021882,0.0234208492366772,9.999894604944199,1.99997892098884,-11.78908341433085,executable,
2024-02-05,2522,short,2024-02-05T23:56:05+00:00,2024-02-05T23:56:06+00:00,2024-02-05T23:56:26+00:00,42695.1,42695.2,42691.0,42691.1,3,225,0.024047116535024816,0.9837171391624544,0.9368756602046169,0.02342076690475814,9.999531562169897,1.9999063124339795,-11.06256221439926,executable,
2024-02-05,2558,short,2024-02-05T23:59:05+00:00,2024-02-05T23:59:06+00:00,2024-02-05T23:59:26+00:00,42690.3,42690.4,42692.2,42692.3,1,38,0.005863460578021057,-0.14054287025944134,-0.4684905001828277,0.02342504628272124,10.000234245250091,2.000046849050018,-12.468771594482938,executable,
