round_id,generated_at_utc,market_type,interval,objective,critical_verdict,promotion_grade,promotion_status,symbol_count_completed,accepted_symbol_count,mean_roi_pct,median_roi_pct,mean_baseline_roi_pct,worst_max_drawdown_pct,total_closed_trades
round-broad-rule-alpha-1d-smoke,2026-07-07T07:41:53.412904Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.0990046820488913,0.0,0
round-profitability-directml-btc-20240601-1d-v3,2026-07-07T12:14:20.645831Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.09586531788894956,0.0,0
round-costfloor-directml-btc-20240601-1d-v4,2026-07-07T12:45:44.780987Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.09586531788894956,0.0,0
round-neural-costaware-btc-20240601-1d-v5,2026-07-07T13:42:33.397172Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.11034637949269563,0.0,0
round-neural-costaware-btc-20240601-1d-v6,2026-07-07T14:15:47.985421Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.11034637949269563,0.0,0
round-neural-costaware-btc-20240601-1d-v7,2026-07-07T14:53:54.881543Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.11034637949269563,0.0,0
round-featurecache-fastalpha-major-trio-20240601-7d-v12,2026-07-07T21:30:49.229460Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.9104744031754544,0.0,0
round-leverage-scaled-major-trio-20240601-1d-v13,2026-07-07T22:27:02.766217Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.11281227324068835,0.0,0
round-pairspecific-costs-major-trio-20240601-1d-v14,2026-07-07T23:23:00.293421Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.058941976542896096,0.0,0
round-pairspecific-fullcandidates-major-trio-20240601-1d-v15,2026-07-08T00:16:40.744066Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.06027987239197702,0.0,0
round-balanced-rarelabel-major-trio-20240601-1d-v16,2026-07-08T01:14:55.831368Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.024748625562221984,0.0,0
round-adaptive-costfloor-major-trio-20240601-1d-v17,2026-07-08T02:10:00.209867Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.015497592529793677,0.0,0
round-adaptive-costfloor-major-trio-20240603-1d-v18,2026-07-08T03:08:03.884364Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.03241463266644845,0.0,0
round-pathaware-density-fastmine-major-trio-20240603-1d-v21,2026-07-08T04:56:11.460886Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,-0.018654075034434375,0.0,0
round-adaptive-threshold-btc-20240601-1d-v24,2026-07-08T11:17:50.136315Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.17078481030623788,0.0,0
round-profitability-btc-weekday-adaptive-v25,2026-07-08T12:16:53.653579Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.5931219085291805,0.0,0
round-path-scalp-fast-major-trio-20240603-1d-v31,2026-07-08T13:59:43.712456Z,futures,1s,conservative,fail,False,not_requested,3,0,0.0,0.0,0.4192125125239425,0.0,0
round-profiled-path-preflight-btc-20240603-1d-v35,2026-07-08T14:28:22.512350Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,0.40493286765765896,0.0,0
round-side-locked-btc-20240603-1d-v36,2026-07-08T14:35:52.000458Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,0.40493286765765896,0.0,0
round-next-entry-label-btc-20240603-1d-v37,2026-07-08T14:48:43.649019Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,0.3580714684620385,0.0,0
round-next-entry-label-btc-20240601-7d-v38,2026-07-08T14:52:04.239731Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,0.0,0.0,0
round-next-entry-label-btc-20240601-7d-v39,2026-07-08T16:06:42.449630Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.47757215228903543,0.0,0
round-ranked-evidence-btc-20240601-7d-v40,2026-07-08T16:35:55.072390Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.47648164698947437,0.0,0
round-alpha-next-entry-btc-20240603-1d-v41,2026-07-08T16:46:58.374302Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,0.3580714684620385,0.0,0
round-trade-tape-btc-20240603-1d-v42,2026-07-08T17:10:11.817760Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.1646604965607413,0.0,0
round-trade-tape-btc-20240603-1d-v43,2026-07-08T17:15:27.310395Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.1646604965607413,0.0,0
round-trade-tape-btc-20240603-1d-v44,2026-07-08T17:21:48.750588Z,futures,1s,conservative,fail,False,not_requested,1,0,0.0,0.0,-0.1646604965607413,0.0,0
