symbol,candidate_index,name,selected,score,signal_threshold,stop_loss_pct,take_profit_pct,cooldown_minutes,min_position_hold_bars,flat_signal_exit_grace_bars,label_threshold,label_lookahead,label_mode,model_family,probability_inverted,hybrid_profile,hybrid_base_score,hybrid_best_score,hybrid_evaluated_profiles,hybrid_expert_count,round_selection_gate_passed,round_selection_reject_reason,threshold_source,decision_threshold,long_decision_threshold,short_decision_threshold,threshold_calibration_score,threshold_calibration_pnl,threshold_calibration_trades,threshold_diagnostic_best_threshold,threshold_diagnostic_best_long_threshold,threshold_diagnostic_best_short_threshold,threshold_diagnostic_best_score,threshold_diagnostic_best_pnl,threshold_diagnostic_best_trades,selection_realized_pnl,selection_closed_trades,selection_max_drawdown,selection_win_rate,selection_total_fees,selection_profit_factor,selection_expectancy,selection_edge_vs_buy_hold,selection_trades_per_day_cap_hit,selection_regime_entry_skips,selection_meta_label_skips,selection_liquidation_events,selection_reject_reason
BTCUSDT,1,default,True,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.55,0.55,0.44999999999999996,-1.136516363405168,-0.5482835984241774,1,0.55,0.55,0.44999999999999996,-1.136516363405168,-0.5482835984241774,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3202111781769656,0,791,0,0,realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,2,intraday_activity_triple_barrier,False,0.0,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5125,0.5125,0.48750000000000004,-14.772184026451143,-7.147212697525902,12,0.5125,0.5125,0.48750000000000004,-14.772184026451143,-7.147212697525902,12,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,154,0,0,realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,3,intraday_downside_triple_barrier,False,0.0,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,downside_triple_barrier,advanced_logistic,True,,,,0,0,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5,0.5,0.5,-1.2188461997189999,-0.5893956328245622,1,0.5,0.5,0.5,-1.2188461997189999,-0.5893956328245622,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,29,0,0,realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,4,order_flow_pressure_triple_barrier,False,0.0,0.62,0.0018,0.0026399999999999996,0,1,1,0.0015,2,triple_barrier,advanced_logistic,False,,,,0,0,False,closed_trades<5; realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5,0.5,,-3.5291170977623003,-1.7046747979225074,3,0.5,0.5,,-3.5291170977623003,-1.7046747979225074,3,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,1,0,0,closed_trades<5; realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,5,downside_order_flow_pressure,False,0.0,0.62,0.0018,0.0026399999999999996,0,1,1,0.0015,2,downside_triple_barrier,advanced_logistic,True,,,,0,0,False,closed_trades<5; realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5,,0.5,-2.783189148738596,-1.351543669478815,2,0.5,,0.5,-2.783189148738596,-1.351543669478815,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,0,0,0,closed_trades<5; realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,6,frequency_probe_forward,False,0.0,0.56,0.005,0.0121,4,1,1,0.0015,4,forward_return,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2543194452513697,-0.6071880848661522,1,0.5375,0.5375,0.4625,-1.2543194452513697,-0.6071880848661522,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3129283926579558,0,3127,0,0,realized_pnl<=0.0; market_edge_pct<0.002
ETHUSDT,1,default,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2786089945809607,-0.6193334668607804,1,0.5375,0.5375,0.4625,-1.2786089945809607,-0.6193334668607804,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.6004658299650987,0,440,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
ETHUSDT,2,intraday_activity_triple_barrier,False,0.0,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2350664130520745,-0.59756108736849,1,0.5375,0.5375,0.4625,-1.2350664130520745,-0.59756108736849,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.517476304932028,0,1517,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
ETHUSDT,3,intraday_downside_triple_barrier,False,0.0,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,downside_triple_barrier,advanced_logistic,True,,,,0,0,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5,0.5,,-1.301208933852696,-0.6306340015798924,1,0.5,0.5,,-1.301208933852696,-0.6306340015798924,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.517476304932028,0,32,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
ETHUSDT,4,order_flow_pressure_triple_barrier,False,0.0,0.62,0.0018,0.0026399999999999996,0,1,1,0.0015,2,triple_barrier,advanced_logistic,False,,,,0,0,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5125,0.5125,0.48750000000000004,-3.9243458920133434,-1.9023018582909117,3,0.5125,0.5125,0.48750000000000004,-3.9243458920133434,-1.9023018582909117,3,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.517476304932028,0,62,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
